Constituency,District Names,Factory Count,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr,Avg ADI
ADILABAD,adilabad,2,TELANGANA,ST,16.4,0,0,1,0,1,0,150000000,0,0,2,0,13
AGRA,agra,16,UTTAR PRADESH,SC,28.1,1,1,0,0,0,0,1090000000,1,0,17,3,12
AHMEDABAD EAST,ahmedabad,175,GUJARAT,GEN,33.1,0,1,1,0,0,0,90030000000,1,0,444,36,18
AHMEDABAD WEST,ahmedabad,182,GUJARAT,SC,33.2,0,1,1,0,0,0,88400000000,1,0,357,34,18
AHMEDNAGAR,ahmednagar,21,MAHARASHTRA,GEN,19.7,0,1,1,0,0,0,1370000000,1,0,36,0,13
AJMER,ajmer,13,RAJASTHAN,GEN,14.9,1,1,1,0,0,1,45260000000,1,0,155,15,17
AKBARPUR,,,UTTAR PRADESH,GEN,28.7,0,1,0,0,0,0,4440000000,1,0,22,3,14
AKOLA,akola,5,MAHARASHTRA,GEN,20.8,0,1,1,0,0,0,80000000,1,0,6,0,12
ALAPPUZHA,alappuzha,10,KERALA,GEN,1.9,0,0,1,0,0,0,3480000000,1,0,10,1,15
ALATHUR,,,KERALA,SC,4,0,0,0,0,0,0,6860000000,1,1,20,2,16
ALIGARH,aligarh,9,UTTAR PRADESH,GEN,26.9,0,1,0,0,0,0,800000000,1,0,8,0,13
ALIPURDUARS,alipurduar,2,WEST BENGAL,ST,1.7,0,0,1,0,0,0,950000000,1,0,27,0,10
ALLAHABAD,allahabad,275,UTTAR PRADESH,GEN,7,0,1,0,0,0,0,630000000,1,0,0,0,12
ALMORA,,,UTTARAKHAND,SC,14.6,0,1,0,0,0,0,200000000,1,0,2,0,15
ALWAR,alwar,101,RAJASTHAN,GEN,26.7,0,1,1,0,0,0,9160000000,1,0,109,5,13
AMALAPURAM,amalapuram,1,ANDHRA PRADESH,SC,10.8,0,1,1,0,0,0,2350000000,1,0,357,3,15
AMBALA,ambala,1,HARYANA,SC,27.9,0,1,1,0,0,0,2030000000,1,0,36,0,18
AMBEDKAR NAGAR,ambedkar nagar,8,UTTAR PRADESH,GEN,13.5,0,1,0,0,0,0,1840000000,1,0,8,0,11
AMETHI,amethi,1,UTTAR PRADESH,GEN,12.3,0,0,0,0,0,0,5060000000,1,1,19,1,10
AMRAVATI,amravati,7,MAHARASHTRA,SC,13.7,0,1,1,0,0,0,1300000000,1,0,7,0,17
AMRELI,amreli,5,GUJARAT,GEN,19.3,0,1,1,0,0,0,2990000000,1,0,34,2,16
AMRITSAR,amritsar,5,PUNJAB,GEN,10.2,0,0,0,0,0,0,1320000000,1,1,5,0,17
AMROHA,amroha,6,UTTAR PRADESH,GEN,14.4,0,1,0,1,0,0,840000000,1,0,139,4,13
ANAKAPALLE,,,ANDHRA PRADESH,GEN,4.2,0,1,1,0,1,0,30420000000,0,0,114,6,16
ANAND,anand,23,GUJARAT,GEN,6.5,0,1,1,1,0,1,3070000000,1,0,23,4,15
ANANDPUR SAHIB,,,PUNJAB,GEN,2.2,0,1,1,0,0,0,3300000000,1,0,147,1,18
ANANTAPUR,anantapur,46,ANDHRA PRADESH,GEN,5.1,0,1,1,0,0,0,19390000000,1,0,46,0,14
ANANTNAG,,,JAMMU AND KASHMIR,GEN,17.4,0,0,0,0,0,0,1030000000,1,1,0,0,13
ANDAMAN AND NICOBAR,,,ANDAMAN AND NICOBAR,GEN,4.1,0,1,0,0,0,0,0,1,0,10,0,16
AONLA,,,UTTAR PRADESH,GEN,13.9,0,1,0,0,0,0,250000000,1,0,21,0,9
ARAKKONAM,,,TAMIL NADU,GEN,22.1,0,0,1,0,0,0,216100000000,1,0,161,2,18
ARAKU,,,ANDHRA PRADESH,ST,10,0,0,0,0,1,0,38740000000,0,1,518,11,14
ARAMBAG,,,WEST BENGAL,SC,25.5,0,0,1,0,0,0,760000000,1,0,57,0,16
ARANI,,,TAMIL NADU,GEN,22.2,0,0,1,0,0,0,350000000,1,0,19,0,14
ARARIA,,,BIHAR,GEN,15,0,0,0,0,1,0,0,0,1,0,0,8
ARRAH,,,BIHAR,GEN,15.2,0,1,1,0,0,0,0,1,0,0,0,9
ARUNACHAL EAST,,,ARUNACHAL PRADESH,GEN,4.8,0,0,0,0,1,0,80000000,0,1,0,0,13
ARUNACHAL WEST,,,ARUNACHAL PRADESH,GEN,12.4,1,1,1,0,0,0,780000000,1,0,0,0,13
ASANSOL,asansol,6,WEST BENGAL,GEN,6.2,1,1,0,0,0,0,0,1,0,10,0,17
ASKA,,,ODISHA,GEN,34.8,0,0,1,0,0,0,600000000,1,0,7,0,9
ATTINGAL,,,KERALA,GEN,8.1,0,0,0,0,0,0,2640000000,1,1,5,2,16
AURANGABAD,,,BIHAR,GEN,8.4,0,1,1,0,1,0,710000000,0,0,249,10,8
AURANGABAD,aurangabad,125,MAHARASHTRA,GEN,16.5,0,1,1,0,0,0,24350000000,1,0,249,10,18
AUTONOMOUS DISTRICT,,,ASSAM,ST,4.4,0,0,1,0,0,0,0,1,0,1,0,10
AZAMGARH,,,UTTAR PRADESH,GEN,6.6,0,0,1,0,0,0,0,1,0,0,0,11
BADAUN,badaun,5,UTTAR PRADESH,GEN,16.2,0,0,1,0,0,0,50000000,1,0,9,1,9
BAGALKOT,,,KARNATAKA,GEN,10.8,0,1,0,0,1,0,490000000,0,0,5,0,14
BAGHPAT,,,UTTAR PRADESH,GEN,20.9,0,1,0,0,0,0,1450000000,1,0,146,3,16
BAHARAMPUR,,,WEST BENGAL,GEN,30.9,0,0,0,0,1,0,470000000,0,1,1,0,10
BAHRAICH,bahraich,3,UTTAR PRADESH,SC,10.2,0,1,0,0,1,0,0,0,0,3,0,7
BALAGHAT,balaghat,4,MADHYA PRADESH,GEN,8.6,0,1,1,0,0,0,2780000000,1,0,5,0,10
BALASORE,balasore,,ODISHA,GEN,13.5,0,0,1,0,0,0,1420000000,1,0,9,1,10
BALLIA,ballia,6,UTTAR PRADESH,GEN,14.8,0,1,0,0,0,0,400000000,1,0,1,0,12
BALURGHAT,,,WEST BENGAL,GEN,10.1,0,0,1,0,1,0,0,0,0,0,0,10
BANASKANTHA,banaskantha,2,GUJARAT,GEN,22.8,1,1,1,0,0,1,1000000000,1,0,2,0,14
BANDA,,,UTTAR PRADESH,GEN,13.5,0,1,0,0,1,0,0,0,0,0,0,8
BANGALORE CENTRAL,bangalore urban,127,KARNATAKA,GEN,12.8,0,1,0,1,0,1,75230000000,1,0,389,9,18
BANGALORE NORTH,bangalore urban,127,KARNATAKA,GEN,16.9,1,1,0,1,0,1,75230000000,1,0,389,9,18
BANGALORE RURAL,bangalore rural,126,KARNATAKA,GEN,15.9,0,0,1,1,0,1,124440000000,1,0,512,19,16
BANGALORE SOUTH,bangalore urban,126,KARNATAKA,GEN,20.5,1,1,0,1,0,1,75230000000,1,0,389,9,18
BANGAON,,,WEST BENGAL,SC,11.4,0,0,1,0,1,0,1910000000,0,0,40,0,14
BANKA,,,BIHAR,GEN,1.1,0,0,0,0,1,0,90000000,0,1,10,0,8
BANKURA,bankura,1,WEST BENGAL,GEN,8,0,0,1,0,0,0,4040000000,1,0,19,0,9
BANSGAON,,,UTTAR PRADESH,SC,21.6,0,1,0,0,0,0,700000000,1,0,4,0,11
BANSWARA,"banswada, banswara",5,RAJASTHAN,ST,7.8,0,1,1,0,0,0,210000000,1,0,7,1,7
BAPATLA,,,ANDHRA PRADESH,SC,2.8,0,1,1,0,0,0,6080000000,1,0,49,3,15
BARABANKI,barabanki,7,UTTAR PRADESH,SC,19.8,0,1,0,0,0,0,340000000,1,0,270,0,8
BARAMATI,,,MAHARASHTRA,GEN,6.5,0,0,0,0,0,0,176290000000,1,1,779,49,18
BARAMULLA,,,JAMMU AND KASHMIR,GEN,6.3,0,0,0,0,1,0,0,0,1,0,0,12
BARASAT,,,WEST BENGAL,GEN,13.6,0,0,1,0,0,0,240000000,1,0,38,0,18
BARDHAMAN PURBA,,,WEST BENGAL,SC,8.7,0,0,1,0,0,0,0,1,0,24,0,17
BARDHAMAN-DURGAPUR,bardhaman,6,WEST BENGAL,GEN,8.1,0,0,1,0,0,0,0,1,0,34,0,17
BARDOLI,,,GUJARAT,ST,10.3,0,1,1,0,0,0,22600000000,1,0,340,6,18
BAREILLY,bareilly,47,UTTAR PRADESH,GEN,23.6,1,1,0,0,0,0,250000000,1,0,16,0,11
BARGARH,,,ODISHA,GEN,1,0,0,1,0,0,0,1550000000,1,0,3,0,12
BARMER,barmer,16,RAJASTHAN,GEN,7.2,0,1,1,0,1,0,12360000000,0,0,43,0,9
BARPETA,barpeta,189,ASSAM,GEN,3.5,0,0,0,0,1,0,190000000,0,1,11,0,12
BARRACKPUR,,,WEST BENGAL,GEN,19.7,0,0,1,0,0,0,240000000,1,0,38,0,18
BASIRHAT,,,WEST BENGAL,GEN,8.6,0,0,1,0,0,0,240000000,1,0,38,0,18
BASTAR,,,CHHATTISGARH,ST,16.2,0,1,1,0,1,0,360000000,0,0,0,0,10
BASTI,basti,11,UTTAR PRADESH,GEN,3.2,0,1,0,0,0,0,0,1,0,1,0,10
BATHINDA,bathinda,1,PUNJAB,GEN,1.6,1,1,1,0,0,0,2600000000,1,0,9,0,14
BEED,beed,1,MAHARASHTRA,GEN,11.1,0,1,1,0,0,0,0,1,0,5,0,13
BEGUSARAI,begusarai,5,BIHAR,GEN,5.4,0,1,1,0,1,0,100000000,0,0,2,0,8
BELGAUM,belgaum,1,KARNATAKA,GEN,7,0,1,0,0,0,0,380000000,1,0,33,1,15
BELLARY,bellary,36,KARNATAKA,ST,8.1,0,1,0,0,0,0,2010000000,1,0,20,2,14
BERHAMPUR,,,ODISHA,GEN,14.1,0,0,1,0,1,0,600000000,0,0,7,0,8
BETUL,betul,1,MADHYA PRADESH,ST,31.4,0,1,1,0,1,0,4090000000,0,0,1,0,11
BHADOHI,,,UTTAR PRADESH,GEN,16.1,0,1,0,0,0,0,630000000,1,0,0,0,12
BHADRAK,,,ODISHA,SC,16.6,0,0,1,0,0,0,1020000000,1,0,6,1,11
BHAGALPUR,bhagalpur,1,BIHAR,GEN,1,0,0,0,0,0,0,0,1,1,10,0,8
BHANDARA-GONDIYA,bhandara,10,MAHARASHTRA,GEN,12.5,0,1,1,0,0,0,530000000,1,0,11,1,13
BHARATPUR,bharatpur,2,RAJASTHAN,SC,25.5,0,1,1,0,0,0,9680000000,1,0,110,5,13
BHARUCH,bharuch,1,GUJARAT,GEN,14.5,1,1,1,0,1,0,19830000000,0,0,860,18,15
BHAVNAGAR,bhavnagar,1,GUJARAT,GEN,32.2,0,1,1,0,0,0,2070000000,1,0,29,1,17
BHILWARA,bhilwara,4,RAJASTHAN,GEN,22.3,0,1,1,0,0,0,8120000000,1,0,8,2,11
BHIND,bhind,8,MADHYA PRADESH,SC,21.9,0,1,1,0,0,0,9810000000,1,0,12,0,11
BHIWANDI,bhiwandi,7,MAHARASHTRA,GEN,12.5,0,1,1,0,0,0,18690000000,1,0,335,14,17
BHIWANI-MAHENDRAGARH,bhiwani,1,HARYANA,GEN,12.6,0,1,1,0,0,0,1600000000,1,0,3,1,16
BHONGIR,,,TELANGANA,GEN,2.5,0,0,1,0,0,0,5600000000,1,0,155,8,15
BHOPAL,bhopal,3,MADHYA PRADESH,GEN,32.8,0,1,1,1,0,0,8820000000,1,0,96,5,14
BHUBANESWAR,bhubaneswar,32,ODISHA,GEN,21.2,0,0,1,0,0,0,850000000,1,0,36,0,16
BIDAR,bidar,4,KARNATAKA,GEN,9.6,0,1,0,0,1,0,1550000000,0,0,15,1,14
BIJAPUR,,,KARNATAKA,SC,7.2,0,1,0,0,0,0,1650000000,1,0,0,0,13
BIJNOR,bijnor,2,UTTAR PRADESH,GEN,19.4,0,1,0,0,0,0,690000000,1,0,32,0,14
BIKANER,bikaner,7,RAJASTHAN,SC,33.1,0,1,1,0,0,0,1220000000,1,0,27,0,16
BILASPUR,bilaspur,9,CHHATTISGARH,GEN,16.2,0,1,1,0,0,0,11290000000,1,0,30,1,17
BIRBHUM,,,WEST BENGAL,GEN,5.3,0,0,1,0,1,0,110000000,0,0,0,0,11
BISHNUPUR,,,WEST BENGAL,SC,11.8,0,0,1,0,0,0,310000000,1,0,36,0,13
BOLANGIR,,,ODISHA,GEN,8.9,0,0,1,0,1,0,0,0,0,1,0,8
BOLPUR,,,WEST BENGAL,SC,18.1,0,0,1,0,1,0,110000000,0,0,24,0,14
BULANDSHAHR,bulandshahar,1,UTTAR PRADESH,SC,41.8,0,1,0,0,0,0,910000000,1,0,29,0,13
BULDHANA,buldhana,29,MAHARASHTRA,GEN,16.3,0,1,1,0,0,0,400000000,1,0,2,0,12
BUXAR,buxar,2,BIHAR,GEN,14.9,0,1,1,0,0,0,0,1,0,4,1,9
CHALAKUDY,,,KERALA,GEN,1.6,0,0,0,0,0,0,25450000000,1,1,29,9,16
CHAMARAJANAGAR,,,KARNATAKA,SC,12.5,0,0,1,0,0,0,810000000,1,0,86,0,15
CHANDAULI,,,UTTAR PRADESH,GEN,16,0,1,0,0,1,0,4350000000,0,0,11,2,13
CHANDIGARH,chandigarh,1,CHANDIGARH,GEN,15.4,0,1,0,0,0,0,510000000,1,0,83,2,18
CHANDNI CHOWK,,,DELHI,GEN,13.9,1,1,0,0,0,0,3260000000,1,0,82,5,18
CHANDRAPUR,chandrapur,1,MAHARASHTRA,GEN,21.3,1,1,1,0,0,1,1690000000,1,0,18,2,13
CHATRA,chatra,2,JHARKHAND,GEN,25,0,1,1,0,1,0,0,0,0,5,0,7
CHENNAI CENTRAL,chennai,1,TAMIL NADU,GEN,5.6,0,0,1,0,0,0,116960000000,1,0,232,58,18
CHENNAI NORTH,chennai,1,TAMIL NADU,GEN,11,0,0,1,0,0,0,117020000000,1,0,366,59,18
CHENNAI SOUTH,chennai,1,TAMIL NADU,GEN,12.6,0,0,1,0,0,0,117700000000,1,0,362,58,18
CHEVELLA,aliabad (ranga reddy dist),2,TELANGANA,GEN,5.5,0,0,1,0,0,0,3740000000,1,0,114,1,17
CHHINDWARA,chhindwara,1,MADHYA PRADESH,GEN,10.5,0,0,0,1,0,0,160000000,1,1,12,0,11
CHHOTA UDAIPUR,,,GUJARAT,ST,16.3,0,1,1,0,1,0,9280000000,0,0,411,10,15
CHIDAMBARAM,,,TAMIL NADU,SC,11.8,0,0,1,0,0,0,11820000000,1,0,21,1,14
CHIKKBALLAPUR,"chikkaballapur, chikballapur",29,KARNATAKA,GEN,0.8,0,0,1,0,0,0,47750000000,1,0,142,9,16
CHIKKODI,,,KARNATAKA,GEN,0.3,0,0,1,0,0,0,380000000,1,0,33,1,15
CHITRADURGA,chitradurga,2,KARNATAKA,SC,9.2,0,0,1,0,0,0,2110000000,1,0,50,4,14
CHITTOOR,,,ANDHRA PRADESH,SC,3.7,0,1,1,0,0,0,7470000000,1,0,46,4,14
CHITTORGARH,chittaurgarh,42,RAJASTHAN,GEN,27,0,1,1,0,0,0,8470000000,1,0,41,1,11
CHURU,,,RAJASTHAN,GEN,26.1,0,1,1,0,0,0,200000000,1,0,1,0,15
COIMBATORE,coimbatore,1,TAMIL NADU,GEN,3.6,0,0,1,0,0,0,16560000000,1,0,135,13,18
COOCHBEHAR,,,WEST BENGAL,SC,6.5,0,0,1,0,0,0,0,1,0,0,0,10
CUDDALORE,cuddalore,2,TAMIL NADU,GEN,20.6,0,0,1,0,0,0,11790000000,1,0,10,1,15
CUTTACK,cuttack,10,ODISHA,GEN,31.3,0,0,1,0,0,0,3400000000,1,0,5,0,12
DADRA & NAGAR HAVELI,"dadra, dadra and nagar haveli",9,DADRA AND NAGAR HAVELI,GEN,3.8,0,1,0,0,0,0,0,1,0,449,0,17
DAHOD,,,GUJARAT,ST,25.6,0,1,1,0,0,0,30000000,1,0,39,1,10
DAKSHINA KANNADA,dakshina kannada,6,KARNATAKA,GEN,11.9,0,1,0,0,0,0,340000000,1,0,4,0,16
DAMAN & DIU,daman,4,DAMAN AND DIU,GEN,10.6,0,1,0,0,0,0,0,1,0,112,0,18
DAMOH,,,MADHYA PRADESH,GEN,23.4,0,1,1,0,1,0,750000000,0,0,1,0,11
DARBHANGA,,,BIHAR,GEN,4.2,0,1,1,0,0,0,0,1,0,0,0,8
DARJEELING,darjeeling,4,WEST BENGAL,GEN,17.3,0,1,0,0,0,0,1440000000,1,0,26,0,13
DAUSA,,,RAJASTHAN,ST,4.9,0,1,1,0,0,0,23580000000,1,0,251,18,14
DAVANAGERE,davanagere,3,KARNATAKA,GEN,1.6,1,1,0,0,0,0,0,1,0,2,0,14
DEORIA,,,UTTAR PRADESH,GEN,27.3,1,1,0,0,0,0,0,1,0,3,0,10
DEWAS,"dewas, agar malwa ",27,MADHYA PRADESH,SC,22.8,0,1,1,0,0,0,7480000000,1,0,90,4,12
DHANBAD,dhanbad,15,JHARKHAND,GEN,25.6,0,1,1,0,1,0,2280000000,0,0,35,0,13
DHAR,dhar,24,MADHYA PRADESH,ST,9.7,0,1,1,0,0,0,3940000000,1,0,72,6,14
DHARMAPURI,dharmapuri,22,TAMIL NADU,GEN,7,0,1,0,0,0,0,2130000000,1,0,35,1,17
DHARWAD,dharwad,3,KARNATAKA,GEN,10.9,0,1,0,0,0,0,540000000,1,0,25,2,16
DHAURAHRA,,,UTTAR PRADESH,GEN,11.9,0,1,0,0,0,0,630000000,1,0,12,0,7
DHENKANAL,dhenkanal,23,ODISHA,GEN,13.2,0,0,1,0,1,0,26500000000,0,0,296,1,9
DHUBRI,,,ASSAM,GEN,16.8,0,0,0,0,1,0,0,0,1,1,0,9
DHULE,dhule,1,MAHARASHTRA,GEN,13.3,0,1,1,0,0,0,12500000000,1,0,220,8,15
DIAMOND HARBOUR,,,WEST BENGAL,GEN,5.7,0,0,1,0,0,0,1090000000,1,0,16,1,15
DIBRUGARH,dibrugarh,14,ASSAM,GEN,20.8,0,1,0,0,0,0,4800000000,1,0,11,3,13
DINDIGUL,dindigul,1,TAMIL NADU,GEN,11.8,0,0,1,0,0,0,1390000000,1,0,13,1,14
DINDORI,,,MAHARASHTRA,ST,25.5,0,1,1,0,0,0,11470000000,1,0,205,8,18
DOMARIYAGANJ,,,UTTAR PRADESH,GEN,11.1,0,1,0,0,1,0,0,0,0,0,0,9
DUM DUM,,,WEST BENGAL,GEN,13.7,0,0,1,0,0,0,240000000,1,0,38,0,18
DUMKA,,,JHARKHAND,ST,4.3,0,0,0,0,1,0,0,0,1,2,0,8
DURG,durg,5,CHHATTISGARH,GEN,1.3,0,0,0,0,0,0,5740000000,1,1,26,1,14
EAST DELHI,east delhi,1,DELHI,GEN,15.9,0,1,0,0,0,0,16090000000,1,0,5,1,18
ELURU,,,ANDHRA PRADESH,GEN,8.5,0,1,1,1,0,0,11030000000,1,0,48,2,16
ERNAKULAM,"ernakulam, aluva (ernakulam dist) ",88,KERALA,GEN,10.2,0,0,1,0,0,0,19990000000,1,0,24,7,16
ERODE,erode,23,TAMIL NADU,GEN,21,0,0,1,0,0,0,900000000,1,0,58,2,18
ETAH,etah,20,UTTAR PRADESH,GEN,21.7,0,1,0,0,0,0,0,1,0,1,0,11
ETAWAH,,,UTTAR PRADESH,SC,18.4,0,1,0,0,0,0,3180000000,1,0,8,1,10
FAIZABAD,,,UTTAR PRADESH,GEN,27.6,0,1,0,0,0,0,410000000,1,0,270,0,9
FARIDABAD,faridabad,6,HARYANA,GEN,41.3,1,1,1,0,0,0,5650000000,1,0,254,10,18
FARIDKOT,,,PUNJAB,SC,16.7,0,0,0,0,1,0,660000000,0,1,22,0,16
FARRUKHABAD,,,UTTAR PRADESH,GEN,15.5,0,1,0,0,0,0,0,1,0,1,0,11
FATEHGARH SAHIB,,,PUNJAB,SC,5.3,0,0,0,0,0,0,7470000000,1,1,66,9,17
FATEHPUR,fatehpur,191,UTTAR PRADESH,GEN,17.7,1,1,0,0,1,0,0,0,0,3,0,8
FATEHPUR SIKRI,,,UTTAR PRADESH,GEN,17.9,0,1,0,0,0,0,1090000000,1,0,16,3,14
FIROZABAD,,,UTTAR PRADESH,GEN,10.3,0,0,1,0,0,0,10000000,1,0,0,0,11
