census_code,id,dist_name,id(ours),dist_name(ors),,,,ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
532,3601,Adilabad,532,Adilabad,Adilabad,"[""Adilabad""]",3400000,3,1,3,1,3,2,13,2,
146,915,Agra,146,Agra,Agra,"[""Agra""]",73400000,3,1,3,2,3,2,14,2,
474,2407,Ahmedabad,474,Ahmadabad,Ahmedabad,"[""Ahmedabad""]",2863700000,3,3,3,3,3,3,18,3,
522,2726,Ahmednagar,522,Ahmadnagar,Ahmednagar,"[""Ahmednagar""]",51600000,3,1,3,3,3,1,14,2,
283,1503,Aizawl,283,Aizawl,Aizawl,"[""Aizawl""]",3800000,3,3,3,3,3,3,18,3,
119,821,Ajmer,119,Ajmer,Ajmer,"[""Ajmer""]",542000000,3,3,3,1,3,3,16,3,
501,2705,Akola,501,Akola,Akola,"[""Akola""]",32700000,3,1,3,1,3,3,14,2,
598,3211,Alappuzha,598,Alappuzha,Alappuzha,"[""Alappuzha""]",40400000,3,3,3,3,3,1,16,3,
143,912,Aligarh,143,Aligarh,Aligarh,"[""Aligarh""]",10700000,3,2,2,2,2,2,13,2,
175,944,Allahabad,175,Allahabad ,Allahabad,"[""Allahabad""]",210200000,3,1,2,2,2,2,12,2,
64,509,Almora,64,Almora,Almora,"[""Almora""]",6500000,3,2,3,1,3,3,15,3,
104,806,Alwar,104,Alwar,Alwar,"[""Alwar""]",416400000,3,1,2,2,3,2,13,2,
70,602,Ambala,70,Ambala,Ambala,"[""Ambala""]",6800000,3,3,3,3,3,3,18,3,
178,947,Ambedkar Nagar,178,Ambedkar Nagar,Ambedkar Nagar,"[""Ambedkar Nagar""]",17700000,3,1,2,2,1,2,11,2,
503,2707,Amravati,503,Amravati,Amravati,"[""Amravati""]",42200000,3,2,3,3,3,3,17,3,
480,2413,Amreli,480,Amreli,Amreli,"[""Amreli""]",8400000,3,2,3,2,3,3,16,3,
49,315,Amritsar,49,Amritsar,Amritsar,"[""Amritsar""]",33300000,3,3,2,3,3,3,17,3,Tarn Taran
,,,,,Tarn Taran,"[""Tarn Taran""]",200000,,,,,,,,,
137,906,Amroha,137,amroha/jyotibha phule nagar,Amroha,"[""Amroha"",""J.P. Nagar""]",10300000,3,1,1,2,2,2,11,2,
482,2415,Anand,482,Anand,Anand,"[""Anand""]",100900000,3,2,3,1,3,3,15,3,
553,3712,Anantapuram,553,Anantapur,Anantapuram,"[""Anantapur"",""Anantapuram""]",184300000,3,1,3,1,3,3,14,2,
14,114,Anantnag,14,Anantnag,Anantnag,"[""Anantnag""]",8900000,3,1,2,1,3,3,13,2,"Kulgam, Shupiyan"
639,3502,North and Middle Andaman,639,Andaman,,,,3,3,3,3,3,3,18,3,"South Andaman, North  & Middle Andaman"
384,2115,Angul,384,Anugul,Angul,"[""Angul""]",295400000,2,1,1,1,2,1,8,1,
209,1007,Araria,209,Araria,,,,1,1,1,2,1,2,8,1,
616,3315,Ariyalur,616,Ariyalur  ,Ariyalur,"[""Ariyalur""]",0,3,1,2,1,3,3,13,2,
241,1038,Arwal,240,Arwal,,,,3,3,3,1,3,3,16,3,
162,931,Auraiya,162,Auraiya,Auraiya,"[""Auraiya""]",25600000,3,1,1,1,2,2,10,1,
235,1033,Aurangabad,235,Aurangabad,Aurangabad,"[""Aurangabad""]",1335900000,1,1,1,2,1,2,8,1,
515,2719,Aurangabad,515,Aurangabad,,,,3,3,3,3,3,3,18,3,
191,960,Azamgarh,191,Azamgarh,Azamgarh,"[""Azamgarh""]",500000,3,1,2,2,1,2,11,2,
149,918,Badaun,149,Badaun,,,,1,1,1,2,1,2,8,1,
556,2902,Bagalkot,556,Bagalkot ,Bagalkot,"[""Bagalkot""]",9800000,3,1,3,1,3,3,14,2,
63,508,Bageshwar,63,Bageshwar,,,,3,2,2,1,3,3,14,2,
139,908,Bagpat,139,Baghpat,Bagpat,"[""Baghpat"",""Bagpat""]",7800000,3,2,3,2,3,2,15,3,
180,949,Bahraich,180,Bahraich,Bahraich,"[""Bahraich""]",200000,1,1,1,1,1,2,7,1,
457,2340,Balaghat,457,Balaghat,Balaghat,"[""Balaghat""]",3500000,1,1,2,1,2,2,9,1,
393,2124,Balangir,393,Balangir,,,,2,1,1,1,2,2,9,1,
377,2108,Balasore,377,Baleshwar,Balasore,"[""Balasore""]",20600000,2,2,2,2,3,2,13,2,
193,962,Ballia,193,Ballia,Ballia,"[""Ballia""]",3300000,3,2,2,2,2,2,13,2,
182,951,Balrampur,182,Balrampur,Balrampur,"[""Balrampur""]",5700000,1,1,1,1,1,2,7,1,
469,2402,Banaskantha,469,Banas Kantha,Banaskantha,"[""Banaskantha"",""Palanpur""]",15400000,3,1,3,1,3,3,14,2,
170,939,Banda,170,Banda,,,,1,1,2,1,1,2,8,1,
572,2918,Bangalore Urban,572,Bangalore,Bangalore Urban,"[""Bengaluru Urban"",""Bangalore Urban"",""Banglore Urban""]",887000000,3,3,3,3,3,3,18,3,
583,2929,Bangalore Rural,583,Bangalore Rural,Bangalore Rural,"[""Bengaluru Rural"",""Bangalore Rural"",""Banglore Rural""]",2402200000,3,3,3,1,3,3,16,3,Ramanagara
,,,,,Ramanagara,"[""Ramanagara""]",17100000,,,,,,,,,
225,1023,Banka,225,Banka,Banka,"[""Banka""]",1400000,1,1,1,2,1,2,8,1,
339,1913,Bankura,339,Bankura ,Bankura,"[""Bankura""]",14700000,2,1,1,2,2,2,10,1,
125,827,Banswara,125,Banswara ,Banswara,"[""Banswara""]",35700000,1,1,1,1,1,2,7,1,
176,945,Barabanki,176,Bara Banki,Barabanki,"[""Barabanki""]",93200000,2,1,1,1,1,2,8,1,
8,108,Baramulla,8,Baramula,Baramulla,"[""Baramulla""]",8900000,3,1,2,1,3,3,13,2,Bandipore
128,830,Baran,128,Baran ,Baran,"[""Baran""]",50200000,3,1,2,1,2,2,11,2,
335,1909,Bardhaman,335,Barddhaman ,,,,3,3,2,3,3,3,17,3,
150,919,Bareilly,150,Bareilly,Bareilly,"[""Bareilly""]",3700000,3,1,1,2,2,2,11,2,
370,2101,Bargarh,370,Bargarh,Bargarh,"[""Bargarh""]",700000,1,1,1,1,2,2,8,1,
115,817,Barmer,115,Barmer ,Barmer,"[""Barmer""]",302800000,3,1,1,1,2,1,9,1,
303,1804,Barpeta,303,Barpeta,Barpeta,"[""Barpeta""]",56300000,2,1,1,2,2,2,10,1,
441,2324,Barwani,441,Barwani ,Barwani,"[""Barwani""]",3200000,1,1,1,1,3,2,9,1,
414,2215,Bastar,414,Bastar,Bastar,"[""Bastar""]",64200000,1,1,2,1,2,2,9,1,Narayanpur
185,954,Basti,185,Basti,Basti,"[""Basti""]",13000000,3,1,2,1,1,2,10,1,
46,312,Bathinda,46,Bathinda,Bathinda,"[""Bathinda""]",12000000,3,2,2,3,3,3,16,3,
222,1020,Begusarai,222,Begusarai,Begusarai,"[""Begusarai""]",51100000,1,1,1,2,1,2,8,1,
555,2901,Belagavi,555,Belgaum,Belagavi,"[""Belagavi"",""Belgaum""]",3000000,3,2,3,1,3,3,15,3,
565,2911,Bellary,565,Bellary,Bellary,"[""Ballari"",""Bellary""]",99700000,3,1,3,1,3,3,14,2,
447,2330,Betul,447,Betul,Betul,"[""Betul""]",38600000,1,1,2,1,3,2,10,1,
378,2109,Bhadrak,378,Bhadrak,Bhadrak,"[""Bhadrak""]",11900000,1,1,1,2,3,2,10,1,
224,1022,Bhagalpur,224,Bhagalpur,Bhagalpur,"[""Bhagalpur""]",2100000,1,1,1,2,1,2,8,1,
506,2710,Bhandara,506,Bhandara,Bhandara,"[""Bhandara""]",15300000,3,2,3,1,3,1,13,2,
105,807,Bharatpur,105,Bharatpur ,Bharatpur,"[""Bharatpur""]",19700000,3,1,3,2,2,2,13,2,
488,2421,Bharuch,488,Bharuch,Bharuch,"[""Bharuch""]",298800000,3,3,3,3,3,3,18,3,
481,2414,Bhavnagar,481,Bhavnagar,Bhavnagar,"[""Bhavnagar""]",68400000,3,2,3,3,3,3,17,3,Botad
,,,,,Botad,"[""Botad""]",200000,,,,,,,,,
122,824,Bhilwara,122,Bhilwara,Bhilwara,"[""Bhilwara""]",154600000,2,1,2,1,3,2,11,2,
420,2303,Bhind,420,Bhind,Bhind,"[""Bhind""]",99200000,2,1,2,2,1,2,10,1,
81,613,Bhiwani,81,Bhiwani,Bhiwani,"[""Bhiwani""]",28600000,3,2,3,2,3,3,16,3,
231,1029,Bhojpur,231,Bhojpur,,,,1,2,1,2,1,2,9,1,
444,2327,Bhopal,444,Bhopal,Bhopal,"[""Bhopal""]",177700000,3,3,3,3,3,3,18,3,
523,2727,Beed,523,Bid,Beed,"[""Beed""]",21400000,2,1,3,1,3,3,13,2,
558,2904,Bidar,558,Bidar,Bidar,"[""Bidar""]",9000000,3,2,2,1,3,3,14,2,
557,2218,Bijapur,557,Bijapur,Bijapur,"[""Vijayapura"",""Bijapur""]",54700000,3,1,2,1,3,3,13,2,
134,903,Bijnor,134,Bijnor,Bijnor,"[""Bijnor""]",5600000,2,2,2,1,2,2,11,2,
101,803,Bikaner,101,Bikaner,Bikaner,"[""Bikaner""]",53500000,3,3,2,1,2,3,14,2,
30,208,Bilaspur,30,Bilaspur,Bilaspur,"[""Bilaspur""]",121500000,3,3,3,3,3,3,18,3,
406,2207,Bilaspur,406,Bilaspur,,,,2,1,1,1,3,2,10,1,
334,1908,Birbhum,334,Birbhum,Birbhum,"[""Birbhum""]",6700000,2,1,2,2,2,2,11,2,
275,1404,Bishnupur,275,Bishnupur,Bishnupur,"[""Bishnupur""]",9200000,3,2,3,3,3,1,15,3,
355,2010,Bokaro,355,Bokaro,Bokaro,"[""Bokaro""]",13100000,3,1,2,2,2,1,11,2,
319,1820,Bongaigaon,319,Bongaigaon,Bongaigaon,"[""Bongaigaon""]",212800000,2,1,1,1,2,2,9,1,Chirang
,,,,,Chirang,"[""Chirang""]",400000,,,,,,,,,
391,2122,Boudh,391,Boudh,,,,1,1,1,1,1,2,7,1,
2,102,Budgam,2,Budgam,,,,3,1,2,1,3,3,13,2,
142,911,Bulandshahar,142,Bulandshahr ,Bulandshahar,"[""Bulandshahr"",""Bulandshahar""]",39600000,3,3,1,2,2,2,13,2,
500,2704,Buldhana,500,Buldana,Buldhana,"[""Buldhana""]",10200000,2,1,2,1,3,3,12,2,
121,823,Bundi,121,Bundi ,Bundi,"[""Bundi""]",1300000,2,1,2,1,3,2,11,2,
232,1030,Buxar,232,Buxar,Buxar,"[""Buxar""]",2500000,2,2,1,2,2,2,11,2,
316,1817,Cachar,316,Cachar,Cachar,"[""Cachar""]",2500000,3,3,1,3,2,1,13,2,
95,706,Central Delhi,95,Central,Central Delhi,"[""Central Delhi""]",120200000,3,3,3,3,3,3,18,3,
578,2924,Chamarajanagar,578,Chamarajanagar,Chamarajanagar,"[""Chamarajanagar""]",3700000,3,1,2,1,3,3,13,2,
23,201,Chamba,23,Chamba,Chamba,"[""Chamba""]",5600000,3,2,3,1,3,3,15,3,
57,502,Chamoli,57,Chamoli,Chamoli,"[""Chamoli""]",104000000,3,2,3,1,3,3,15,3,
65,510,Champawat,65,Champawat,,,,3,3,3,1,3,3,16,3,
284,1504,Champhai,284,Champhai,,,,3,2,2,1,3,3,14,2,
196,965,Chandauli,196,Chandauli,,,,3,1,2,2,1,2,11,2,
280,1409,Chandel,280,Chandel,,,,3,2,1,1,2,1,10,1,
55,401,Chandigarh,55,Chandigarh,Chandigarh,"[""Chandigarh""]",142900000,3,3,3,3,3,3,18,3,
509,2713,Chandrapur,509,Chandrapur,Chandrapur,"[""Chandrapur""]",40000000,3,3,3,1,3,2,15,3,
253,1209,Changlang,253,Changlang,Changlang,"[""Changlang""]",1300000,3,2,2,1,3,3,14,2,
347,2002,Chatra,347,Chatra,,,,1,1,1,1,1,2,7,1,
603,3302,Chennai,603,Chennai,Chennai,"[""Chennai""]",3279800000,3,3,3,3,3,3,18,3,
425,2308,Chhatarpur,425,Chhatarpur,Chhatarpur,"[""Chhatarpur""]",15100000,2,1,2,1,3,2,11,2,
455,2338,Chhindwara,455,Chhindwara,Chhindwara,"[""Chhindwara""]",9000000,2,1,3,1,3,1,11,2,
570,2916,Chikkamagaluru,570,Chikmagalur,Chikkamagaluru,"[""Chikkamagaluru"",""Chikmagalur""]",4500000,3,3,3,3,3,3,18,3,
566,2912,Chitradurga,566,Chitradurga,Chitradurga,"[""Chitradurga""]",83900000,3,1,3,1,3,3,14,2,
171,940,Chitrakoot,171,Chitrakoot,,,,1,1,2,1,1,2,8,1,
126,828,Chittaurgarh,126,Chittaurgarh ,Chittaurgarh,"[""Chittorgarh"",""Chittaurgarh""]",97400000,3,1,2,1,3,2,12,2,Pratapgarh 
554,3713,Chittoor,554,Chittoor,Chittoor,"[""Chittoor""]",143300000,3,1,3,1,3,3,14,2,
274,1403,Churachandpur,274,Churachandpur,,,,2,2,2,1,3,1,11,2,
102,804,Churu,102,Churu ,Churu,"[""Churu""]",14700000,3,3,2,1,3,3,15,3,
632,3331,Coimbatore,632,Coimbatore,Coimbatore,"[""Coimbatore""]",596200000,3,3,3,3,3,3,18,3,Tiruppur
,,,,,Tiruppur,"[""Tiruppur""]",1600000,,,,,,,,,
617,3316,Cuddalore,617,Cuddalore,Cuddalore,"[""Cuddalore""]",67600000,3,2,3,1,3,3,15,3,
381,2112,Cuttack,381,Cuttack,Cuttack,"[""Cuttack""]",139500000,3,1,1,3,3,3,14,2,
496,2601,Dadra and Nagar Haveli,496,Dadra & Nagar Haveli,,,,3,3,3,3,3,2,17,3,
485,2418,Dahod,485,Dahod,Dahod,"[""Dahod""]",72300000,1,1,1,1,3,2,9,1,
416,2217,Dantewada,416,Dakshin Bastar Dantewada,,,,1,1,2,1,1,2,8,1,Bijapur
331,1905,Dakshin Dinajpur,331,Dakshin Dinajpur,,,,2,2,1,2,2,2,11,2,
575,2921,Dakshina Kannada,575,Dakshina Kannada,Dakshina Kannada,"[""Dakshina Kannada""]",11400000,3,3,3,3,3,1,16,3,
495,2502,Daman,495,Daman,Daman,"[""Daman""]",10300000,3,3,3,3,3,3,18,3,
428,2311,Damoh,428,Damoh,Damoh,"[""Damoh""]",3200000,2,1,3,1,2,2,11,2,
215,1013,Darbhanga,215,Darbhanga,Darbhanga,"[""Darbhanga""]",2600000,1,1,1,2,1,2,8,1,
327,1901,Darjeeling,327,Darjiling ,Darjeeling,"[""Darjeeling""]",32900000,3,3,3,3,3,1,16,3,
325,1826,Darrang,325,Darrang,Darrang,"[""Darrang""]",1100000,2,1,1,1,2,2,9,1,Udalguri
,,,,,Udalguri,"[""Udalguri""]",19400000,,,,,,,,,
422,2305,Datia,422,Datia,Datia,"[""Datia""]",200000,3,1,2,2,2,2,12,2,
109,811,Dausa,109,Dausa ,,,,3,1,2,1,3,2,12,2,
567,2913,Davanagere,567,Davanagere,,,,3,1,3,1,3,3,14,2,
60,505,Dehradun,60,Dehradun,Dehradun,"[""Dehradun""]",183700000,3,3,3,3,3,3,18,3,
350,2104,Deogarh,350,Deoghar,Deoghar,"[""Deoghar""]",11700000,2,1,1,2,2,2,10,1,
190,959,Deoria,190,Deoria,,,,3,1,2,1,2,2,11,2,
437,2320,Dewas,437,Dewas,Dewas,"[""Dewas""]",35000000,3,1,3,1,3,2,13,2,
291,1603,Dhalai,291,Dhalai,,,,2,2,3,1,3,1,12,2,
412,2213,Dhamtari,412,Dhamtari ,,,,2,2,2,1,3,2,12,2,
354,2009,Dhanbad,354,Dhanbad,Dhanbad,"[""Dhanbad""]",153600000,3,3,2,3,3,1,15,3,
438,2321,Dhar,438,Dhar,Dhar,"[""Dhar""]",2700000,1,1,2,1,3,2,10,1,
630,3329,Dharmapuri,630,Dharmapuri,Dharmapuri,"[""Dharmapuri""]",25200000,3,3,3,1,3,3,16,3,Krishnagiri
,,,,,Krishnagiri,"[""Krishnagiri""]",64200000,,,,,,,,,
562,2908,Dharwad,562,Dharwad,Dharwad,"[""Dharwad""]",80000000,3,3,3,3,3,3,18,3,
106,808,Dhaulpur,106,Dhaulpur,Dhaulpur,"[""Dholpur"",""Dhaulpur""]",1800000,3,1,2,2,3,2,13,2,
308,1809,Dhemaji,308,Dhemaji,Dhemaji,"[""Dhemaji""]",1000000,2,1,1,1,1,2,8,1,
383,2114,Dhenkanal,383,Dhenkanal,Dhenkanal,"[""Dhenkanal""]",35600000,2,2,1,1,3,1,10,1,
301,1802,Dhubri,301,Dhubri,Dhubri,"[""Dhubri""]",37100000,2,1,1,1,2,2,9,1,
498,2702,Dhule,498,Dhule,Dhule,"[""Dhule""]",52700000,2,1,3,1,3,3,13,2,
257,1213,Dibang Valley,257,Dibang Valley,Dibang Valley,"[""Dibang Valley""]",1300000,3,2,3,1,3,3,15,3,Lower Dibang Valley
,,,,,Lower Dibang Valley,"[""Lower Dibang Valley""]",1100000,,,,,,,,,
310,1811,Dibrugarh,310,Dibrugarh,Dibrugarh,"[""Dibrugarh""]",61000000,3,3,2,1,2,3,14,2,
315,1816,Dima Hasao,315,Dima Hasao,,,,2,2,1,1,3,1,10,1,
265,1305,Dimapur,265,Dimapur ,Dimapur,"[""Dimapur""]",5000000,3,3,3,3,3,1,16,3,
612,3311,Dindigul,612,Dindigul,Dindigul,"[""Dindigul""]",53900000,3,1,3,1,3,3,14,2,
453,2336,Dindori,453,Dindori ,Dindori,"[""Dindori""]",7900000,1,1,2,1,1,2,8,1,
494,2501,Diu,494,Diu,,,,3,3,3,3,3,3,18,3,
16,116,Doda,16,Doda,Doda,"[""Doda""]",0,1,2,2,1,3,3,12,2,"Ramban, Kishtwar"
,,,,,Ramban,"[""Ramban""]",0,,,,,,,,,
362,2017,Dumka,362,Dumka,Dumka,"[""Dumka""]",3700000,1,1,1,1,1,2,7,1,Jamtara
124,826,Dungarpur,124,Dungarpur ,Dungarpur,"[""Dungarpur""]",21700000,1,1,1,1,2,2,8,1,
409,2210,Durg,409,Durg,Durg,"[""Durg""]",123900000,3,2,3,1,3,2,14,2,
93,705,Delhi,93,east delhi,East Delhi,"[""East Delhi""]",1231800000,3,3,3,3,3,3,18,3,
294,1702,East Garo Hills,294,East Garo Hills,,,,1,2,2,1,2,2,10,1,
545,3704,East Godavari,545,East Godavari,East Godavari,"[""East Godavari""]",71500000,3,2,3,1,3,3,15,3,
247,1203,East Kameng,247,East Kameng,East Kameng,"[""East Kameng""]",1100000,2,1,1,1,3,3,11,2,
298,1706,East Khasi Hills,298,East Khasi Hills,East Khasi Hills,"[""East Khasi Hills""]",44700000,3,3,3,3,3,3,18,3,
251,1207,East Siang,251,East Siang,,,,3,2,2,1,3,3,14,2,
357,2012,East Singhbhum,357,East Singhbhum,,,,3,3,2,3,3,3,17,3,
595,3208,Ernakulam,595,Ernakulam,Ernakulam,"[""Ernakulam""]",551900000,3,3,3,3,3,1,16,3,
610,3309,Erode,610,Erode,Erode,"[""Erode""]",26300000,3,3,3,3,3,3,18,3,
201,970,Etah,201,Etah,Etah,"[""Etah""]",1800000,3,1,1,2,2,2,11,2,Kanshiram Nagar
161,930,Etawah,161,Etawah,,,,3,1,1,1,2,2,10,1,
177,946,Faizabad,177,Faizabad,Faizabad,"[""Faizabad""]",700000,3,1,2,1,1,2,10,1,
88,620,Faridabad,88,Faridabad,Faridabad,"[""Faridabad""]",165300000,3,3,3,3,3,3,18,3,Palwal 
,,,,,Palwal,"[""Palwal""]",18300000,,,,,,,,,
45,311,Faridkot,45,Faridkot,,,,3,3,3,3,3,3,18,3,
159,928,Farrukhabad,159,Farrukhabad,,,,3,1,1,2,2,2,11,2,
78,610,Fatehabad,78,Fatehabad,,,,3,2,2,2,3,3,15,3,
40,306,Fatehgarh Sahib,40,Fatehgarh Sahib,,,,3,3,3,3,3,3,18,3,
172,941,Fatehpur,172,Fatehpur,,,,2,1,1,1,1,2,8,1,
147,916,Firozabad,147,Firozabad,Firozabad,"[""Firozabad""]",100000,3,1,1,2,2,2,11,2,
43,309,Ferozepur,43,Firozpur,Ferozepur,"[""Ferozepur"",""Firozpur""]",23100000,3,2,2,2,3,2,14,2,
561,2907,Gadag,561,Gadag,Gadag,"[""Gadag""]",28400000,3,1,3,1,3,3,14,2,
508,2712,Gadchiroli,508,Gadchiroli,Gadchiroli,"[""Gadchiroli""]",33500000,1,1,2,1,3,2,10,1,
389,2120,Gajapati,389,Gajapati,,,,1,1,1,1,2,2,8,1,
473,2406,Gandhinagar,473,Gandhinagar,Gandhinagar,"[""Gandhinagar""]",79800000,3,3,3,3,3,3,18,3,
388,2119,Ganjam,388,Ganjam,Ganjam,"[""Ganjam""]",7500000,2,1,1,1,2,2,9,1,
346,2001,Garhwa,346,Garhwa ,,,,1,1,1,1,1,2,7,1,
61,506,Pauri Garhwal,61,Garhwal,Pauri Garhwal,"[""Pauri Garhwal""]",100000,3,2,3,1,3,3,15,3,
141,910,Gautam Buddh Nagar,141,Gautam Buddha Nagar,Gautam Buddh Nagar,"[""Gautam Buddha Nagar"",""Gautam Buddh Nagar""]",1061200000,3,3,3,3,3,3,18,3,
236,1034,Gaya,236,Gaya,Gaya,"[""Gaya""]",19100000,1,1,1,2,1,2,8,1,
140,909,Ghaziabad,140,Ghaziabad,Ghaziabad,"[""Ghaziabad""]",95900000,3,3,3,3,3,2,17,3,Hapur
,,,,,Hapur,"[""Hapur"",""Panchsheel Nagar""]",5900000,,,,,,,,,
195,964,Ghazipur,195,Ghazipur,Ghazipur,"[""Ghazipur""]",125700000,3,1,1,2,1,2,10,1,
349,2004,Giridih,349,Giridih,Giridih,"[""Giridih""]",11500000,1,1,2,1,1,1,7,1,
302,1803,Goalpara,302,Goalpara,Goalpara,"[""Goalpara""]",3700000,2,2,1,1,2,2,10,1,
351,2006,Godda,351,Godda,Godda,"[""Godda""]",300000,1,1,1,2,1,2,8,1,
313,1814,Golaghat,313,Golaghat,Golaghat,"[""Golaghat""]",197100000,2,2,1,1,2,3,11,2,
183,952,Gonda,183,Gonda,Gonda,"[""Gonda""]",1300000,3,1,1,1,1,2,9,1,
507,2711,Gondia,507,Gondiya,Gondia,"[""Gondia""]",95300000,2,2,3,1,3,2,13,2,
217,1015,Gopalganj,217,Gopalganj,,,,3,1,1,2,1,2,10,1,
188,957,Gorakhpur,188,Gorakhpur,Gorakhpur,"[""Gorakhpur""]",13500000,3,1,2,1,3,2,12,2,
579,2925,Gulbarga,579,Gulbarga,Gulbarga,"[""Kalaburagi"",""Gulbarga""]",17000000,3,2,2,1,3,3,14,2,Yadgir
