census_code,id,dist_name,id(ours),dist_name(ors),ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
323,1824,Nalbari,323,Nalbari,3,3,1,3,3,3,16,3,Baksa
325,1826,Darrang,325,Darrang,2,1,1,1,2,2,9,1,Udalguri
327,1901,Darjeeling,327,Darjiling ,3,3,3,3,3,1,16,3,
328,1902,Jalpaiguri,328,Jalpaiguri ,2,3,1,1,2,1,10,1,
329,1903,Cooch Behar,329,Koch Bihar ,2,2,1,1,2,2,10,1,
330,1904,Uttar Dinajpur,330,Uttar Dinajpur,2,1,1,2,2,2,10,1,
331,1905,Dakshin Dinajpur,331,Dakshin Dinajpur,2,2,1,2,2,2,11,2,
332,1906,Malda,332,Maldah ,2,1,1,2,2,2,10,1,
333,1907,Murshidabad,333,Murshidabad ,2,1,1,2,2,2,10,1,
334,1908,Birbhum,334,Birbhum,2,1,2,2,2,2,11,2,
335,1909,Bardhaman,335,Barddhaman ,3,3,2,3,3,3,17,3,
336,1910,Nadia,336,Nadia ,2,2,1,2,2,2,11,2,
337,1911,North 24 Parganas,337,North Twenty Four Parganas,3,3,3,3,3,3,18,3,
338,1912,Hooghly,338,Hugli ,3,3,3,3,3,3,18,3,
339,1913,Bankura,339,Bankura ,2,1,1,2,2,2,10,1,
340,1914,Purulia,340,Puruliya,2,1,1,1,2,2,9,1,
341,1915,Howrah,341,Howrah,3,3,3,3,3,3,18,3,
342,1916,Kolkata,342,Kolkata,3,3,3,3,3,3,18,3,
343,1917,South 24 Parganas,343,South Twenty Four Parganas,2,2,3,3,2,3,15,3,
344,1918,West Medinipur,344,Medinipur,2,3,2,2,3,2,14,2,"Purba Medinipur, Paschim Medinipur"
346,2001,Garhwa,346,Garhwa ,1,1,1,1,1,2,7,1,
347,2002,Chatra,347,Chatra,1,1,1,1,1,2,7,1,
348,2003,Koderma,348,Kodarma,3,1,2,1,2,1,10,1,
349,2004,Giridih,349,Giridih,1,1,2,1,1,1,7,1,
350,2104,Deogarh,350,Deoghar,2,1,1,2,2,2,10,1,
351,2006,Godda,351,Godda,1,1,1,2,1,2,8,1,
352,2007,Sahibganj,352,Sahibganj,2,1,1,2,2,2,10,1,
353,2008,Pakur,353,Pakur,2,1,2,2,2,2,11,2,
354,2009,Dhanbad,354,Dhanbad,3,3,2,3,3,1,15,3,
355,2010,Bokaro,355,Bokaro,3,1,2,2,2,1,11,2,
356,2011,Lohardaga,356,Lohardaga,1,1,1,1,1,1,6,1,
357,2012,East Singhbhum,357,East Singhbhum,3,3,2,3,3,3,17,3,
358,2013,Palamu,358,Palamu,1,1,1,1,1,2,7,1,Latehar
360,2015,Hazaribagh,360,Hazaribagh,3,1,2,2,2,1,11,2,Ramgarh
362,2017,Dumka,362,Dumka,1,1,1,1,1,2,7,1,Jamtara
364,2019,Ranchi,364,Ranchi,3,1,2,1,2,1,10,1,Khunti
366,2021,Gumla,366,Gumla,1,1,1,1,1,1,6,1,Simdega
368,2023,West Singhbhum,368,Pashchimi Singhbhum,2,1,3,1,2,2,11,2,Saraikela-Kharsawan
370,2101,Bargarh,370,Bargarh,1,1,1,1,2,2,8,1,
371,2102,Jharsuguda,371,Jharsuguda,3,3,3,3,3,3,18,3,
372,2103,Sambalpur,372,Sambalpur,2,3,3,1,3,2,14,2,
373,,,,,1,1,1,1,1,2,7,1,
374,2105,Sundargarh,374,Sundargarh,2,3,1,1,3,3,13,2,
375,2106,Kendujhar,375,Kendujhar,2,1,1,1,2,2,9,1,
376,2107,Mayurbhanj,376,Mayurbhanj,1,1,1,1,1,2,7,1,
377,2108,Balasore,377,Baleshwar,2,2,2,2,3,2,13,2,
378,2109,Bhadrak,378,Bhadrak,1,1,1,2,3,2,10,1,
379,2110,Kendrapara,379,Kendrapara ,3,1,1,2,2,2,11,2,
380,2111,Jagatsinghpur,380,Jagatsinghapur ,2,3,2,2,3,2,14,2,
381,2112,Cuttack,381,Cuttack,3,1,1,3,3,3,14,2,
382,2113,Jajpur,382,Jajapur  ,2,2,1,2,3,2,12,2,
383,2114,Dhenkanal,383,Dhenkanal,2,2,1,1,3,1,10,1,
384,2115,Angul,384,Anugul,2,1,1,1,2,1,8,1,
385,2116,Nayagarh,385,Nayagarh  ,2,2,1,1,3,2,11,2,
386,2117,Khordha,386,Khordha ,3,3,3,3,3,1,16,3,
387,2118,Puri,387,Puri,2,3,1,2,3,2,13,2,
388,2119,Ganjam,388,Ganjam,2,1,1,1,2,2,9,1,
389,2120,Gajapati,389,Gajapati,1,1,1,1,2,2,8,1,
390,2121,Kandhamal,390,Kandhamal,1,1,1,1,1,1,6,1,
391,2122,Boudh,391,Boudh,1,1,1,1,1,2,7,1,
392,2123,Subarnapur,392,Subarnapur,1,1,1,1,2,2,8,1,
393,2124,Balangir,393,Balangir,2,1,1,1,2,2,9,1,
394,2125,Nuapada,394,Nuapada,1,1,1,1,2,2,8,1,
395,2126,Kalahandi,395,Kalahandi,1,1,1,1,1,2,7,1,
396,2127,Rayagada,396,Rayagada  ,1,1,1,1,2,2,8,1,
397,2128,Nabarangpur,397,Nabarangapur ,1,1,1,1,1,2,7,1,
398,2129,Koraput,398,Koraput,2,1,1,1,1,2,8,1,
399,2130,Malkangiri,399,Malkangiri  ,3,1,1,1,1,2,9,1,
400,2201,Koriya,400,Koriya,2,1,2,1,2,2,10,1,
401,2202,Surguja,401,Surguja,1,1,2,1,2,2,9,1,
402,2203,Jashpur,402,Jashpur ,1,1,2,1,2,2,9,1,
403,2724,Raigad,403,Raigarh,2,1,1,1,3,2,10,1,
404,2205,Korba,404,Korba ,2,1,2,1,3,2,11,2,
405,2206,Janjgir-Champa,405,Janjgir - Champa,1,1,1,1,3,2,9,1,
406,2207,Bilaspur,406,Bilaspur,2,1,1,1,3,2,10,1,
407,2208,Kawardha,407,kabir dham,1,1,1,1,3,2,9,1,
408,2209,Rajnandgaon,408,Rajnandgaon,2,1,3,1,3,2,12,2,
409,2210,Durg,409,Durg,3,2,3,1,3,2,14,2,
410,2211,Raipur,410,Raipur,3,1,2,1,3,2,12,2,
411,2212,Mahasamund,411,Mahasamund,1,1,1,1,2,2,8,1,
412,2213,Dhamtari,412,Dhamtari ,2,2,2,1,3,2,12,2,
413,2214,Kanker,413,Uttar Bastar Kanker,1,1,2,1,2,2,9,1,
414,2215,Bastar,414,Bastar,1,1,2,1,2,2,9,1,Narayanpur
416,2217,Dantewada,416,Dakshin Bastar Dantewada,1,1,2,1,1,2,8,1,Bijapur
418,2301,Sheopur,418,Sheopur ,1,1,1,1,2,2,8,1,
419,2302,Morena,419,Morena,1,1,2,2,1,2,9,1,
420,2303,Bhind,420,Bhind,2,1,2,2,1,2,10,1,
421,2304,Gwalior,421,Gwalior,3,3,3,3,3,3,18,3,
422,2305,Datia,422,Datia,3,1,2,2,2,2,12,2,
423,2306,Shivpuri,423,Shivpuri,1,1,2,1,2,2,9,1,
424,2307,Tikamgarh,424,Tikamgarh,1,1,2,1,2,2,9,1,
425,2308,Chhatarpur,425,Chhatarpur,2,1,2,1,3,2,11,2,
426,2309,Panna,426,Panna,1,1,2,1,1,2,8,1,
427,2310,Sagar,427,Sagar,2,1,3,1,3,2,12,2,
428,2311,Damoh,428,Damoh,2,1,3,1,2,2,11,2,
429,2312,Satna,429,Satna,2,1,3,1,3,2,12,2,
430,2313,Rewa,430,Rewa,1,1,3,2,3,2,12,2,
431,2314,Umaria,431,Umaria,1,1,2,1,2,2,9,1,
432,2315,Neemuch,432,Neemuch ,3,1,3,1,3,1,12,2,
433,2316,Mandsaur,433,Mandsaur,2,1,2,1,3,1,10,1,
434,2317,Ratlam,434,Ratlam,3,1,2,1,3,2,12,2,
435,2318,Ujjain,435,Ujjain,3,2,3,1,3,2,14,2,
436,2319,Shajapur,436,Shajapur,2,1,2,1,3,2,11,2,
437,2320,Dewas,437,Dewas,3,1,3,1,3,2,13,2,
438,2321,Dhar,438,Dhar,1,1,2,1,3,2,10,1,
439,2322,Indore,439,Indore,3,3,3,3,3,3,18,3,
440,2323,Khargone,440,Khargone (West Nimar),1,1,1,1,3,3,10,1,
441,2324,Barwani,441,Barwani ,1,1,1,1,3,2,9,1,
442,2325,Rajgarh,442,Rajgarh,2,1,1,1,2,2,9,1,
443,2326,Vidisha,443,Vidisha,2,1,2,1,3,2,11,2,
444,2327,Bhopal,444,Bhopal,3,3,3,3,3,3,18,3,
445,2328,Sehore,445,Sehore,3,1,2,1,3,2,12,2,
446,2329,Raisen,446,Raisen,2,1,3,1,3,2,12,2,
447,2330,Betul,447,Betul,1,1,2,1,3,2,10,1,
448,2331,Harda,448,Harda,3,1,2,1,3,2,12,2,
449,2332,Hoshangabad,449,Hoshangabad,3,2,3,1,3,2,14,2,
450,2333,Katni,450,Katni ,2,1,3,1,3,2,12,2,
451,2334,Jabalpur,451,Jabalpur,3,3,3,3,3,3,18,3,
452,2335,Narsinghpur,452,Narsimhapur,1,1,2,1,3,2,10,1,
453,2336,Dindori,453,Dindori ,1,1,2,1,1,2,8,1,
454,2337,Mandla,454,Mandla,1,1,2,1,2,2,9,1,
455,2338,Chhindwara,455,Chhindwara,2,1,3,1,3,1,11,2,
456,2339,Seoni,456,Seoni,2,1,2,1,3,2,11,2,
457,2340,Balaghat,457,Balaghat,1,1,2,1,2,2,9,1,
458,2341,Guna,458,Guna,1,1,2,1,3,2,10,1,Ashoknagar
460,2343,Shahdol,460,Shahdol,2,1,3,1,2,2,11,2,Anuppur
462,2345,Sidhi,462,Sidhi,1,1,2,1,1,2,8,1,Singrauli
464,2347,Jhabua,464,Jhabua,1,1,1,1,3,2,9,1,Alirajpur
466,2349,Khandwa,466,Khandwa (East Nimar),2,1,2,1,3,3,12,2,Burhanpur
468,2401,Kachchh,468,Kachchh,3,3,3,1,3,3,16,3,
469,2402,Banaskantha,469,Banas Kantha,3,1,3,1,3,3,14,2,
470,2403,Patan,470,Patan  ,3,3,3,1,3,3,16,3,
471,2404,Mehsana,471,Mahesana,3,2,3,3,3,3,17,3,
472,2405,Sabarkatha,472,Sabar Kantha,2,1,3,1,3,3,13,2,
473,2406,Gandhinagar,473,Gandhinagar,3,3,3,3,3,3,18,3,
474,2407,Ahmedabad,474,Ahmadabad,3,3,3,3,3,3,18,3,
475,2408,Surendranagar,475,Surendranagar,3,1,3,1,3,3,14,2,
476,2409,Rajkot,476,Rajkot,3,3,3,3,3,3,18,3,
477,2410,Jamnagar,477,Jamnagar,3,2,3,3,3,3,17,3,
478,2411,Porbandar,478,Porbandar ,3,3,3,3,3,3,18,3,
479,2412,Junagadh,479,Junagadh,3,2,3,1,3,3,15,3,
480,2413,Amreli,480,Amreli,3,2,3,2,3,3,16,3,
481,2414,Bhavnagar,481,Bhavnagar,3,2,3,3,3,3,17,3,
482,2415,Anand,482,Anand,3,2,3,1,3,3,15,3,
483,2416,Kheda,483,Kheda,2,2,3,1,3,3,14,2,
484,2417,Panchmahal,484,Panchmahal,1,1,2,1,3,2,10,1,
485,2418,Dahod,485,Dahod,1,1,1,1,3,2,9,1,
486,2419,Vadodara,486,Vadodara,3,3,3,3,3,3,18,3,
487,2420,Narmada,487,Narmada,2,1,2,1,3,2,11,2,
488,2421,Bharuch,488,Bharuch,3,3,3,3,3,3,18,3,
489,2422,Dang,489,The Dangs,2,1,3,1,3,2,12,2,
490,2423,Navsari,490,Navsari  ,3,3,3,3,3,3,18,3,
491,2424,Valsad,491,Valsad,3,3,3,3,3,3,18,3,
492,2425,Surat,492,Surat,3,3,3,3,3,3,18,3,Tapi
494,2501,Diu,494,Diu,3,3,3,3,3,3,18,3,
495,2502,Daman,495,Daman,3,3,3,3,3,3,18,3,
496,2601,Dadra and Nagar Haveli,496,Dadra & Nagar Haveli,3,3,3,3,3,2,17,3,
497,2701,Nandurbar,497,Nandurbar,1,1,2,1,2,3,10,1,
498,2702,Dhule,498,Dhule,2,1,3,1,3,3,13,2,
499,2703,Jalgaon,499,Jalgaon,3,2,3,2,3,3,16,3,
500,2704,Buldhana,500,Buldana,2,1,2,1,3,3,12,2,
501,2705,Akola,501,Akola,3,1,3,1,3,3,14,2,
502,2706,Washim,502,Washim,3,1,2,1,3,1,11,2,
503,2707,Amravati,503,Amravati,3,2,3,3,3,3,17,3,
504,2708,Wardha,504,Wardha,3,2,3,1,3,3,15,3,
505,2709,Nagpur,505,Nagpur,3,3,3,3,3,3,18,3,
506,2710,Bhandara,506,Bhandara,3,2,3,1,3,1,13,2,
507,2711,Gondia,507,Gondiya,2,2,3,1,3,2,13,2,
508,2712,Gadchiroli,508,Gadchiroli,1,1,2,1,3,2,10,1,
509,2713,Chandrapur,509,Chandrapur,3,3,3,1,3,2,15,3,
510,2714,Yavatmal,510,Yavatmal,3,2,2,1,2,1,11,2,
,2715,Nanded,511,Nanded,,,,,,,,,
512,2716,Hingoli,512,Hingoli,3,1,2,1,3,2,12,2,
513,2717,Parbhani,513,Parbhani,3,1,3,1,3,2,13,2,
514,2718,Jalna,514,Jalna,2,1,3,1,3,1,11,2,
515,2719,Aurangabad,515,Aurangabad,3,3,3,3,3,3,18,3,
516,2720,Nashik,516,Nashik,3,3,3,3,3,3,18,3,
517,2721,Thane,517,Thane,3,2,3,3,3,3,17,3,
518,2722,Mumbai Suburban,518,Mumbai Suburban,3,3,3,3,3,3,18,3,
519,2723,Mumbai,519,Mumbai,3,3,3,3,3,3,18,3,
520,2204,Raigarh,520,Raigarh,3,3,3,3,3,3,18,3,
521,2725,Pune,521,Pune,3,3,3,3,3,3,18,3,
522,2726,Ahmednagar,522,Ahmadnagar,3,1,3,3,3,1,14,2,
523,2727,Beed,523,Bid,2,1,3,1,3,3,13,2,
524,2728,Latur,524,Latur,3,1,3,1,3,3,14,2,
525,2729,Osmanabad,525,Osmanabad,3,1,2,1,2,3,12,2,
526,2730,Solapur,526,Solapur,3,2,3,1,3,3,15,3,
527,2731,Satara,527,Satara,3,2,3,3,3,3,17,3,
528,2732,Ratnagiri,528,Ratnagiri,3,2,3,1,3,3,15,3,
529,2733,Sindhudurg,529,Sindhudurg,3,3,3,1,3,1,14,2,
530,2734,Kolhapur,530,Kolhapur,3,3,3,3,3,3,18,3,
531,2735,Sangli,531,Sangli,3,2,3,2,3,3,16,3,
532,3601,Adilabad,532,Adilabad,3,1,3,1,3,2,13,2,
533,3602,Nizamabad,533,Nizamabad,3,1,3,1,3,3,14,2,
534,3603,Karimnagar,534,Karimnagar,3,1,3,1,3,3,14,2,
535,3604,Medak,535,Medak,3,1,3,1,3,3,14,2,
536,3605,Hyderabad,536,Hyderabad,3,3,3,3,3,3,18,3,
537,3606,Ranga Reddy,537,Rangareddy,3,3,3,3,3,3,18,3,
538,3607,Mahabubnagar,538,Mahbubnagar,3,1,3,1,3,3,14,2,
539,3608,Nalgonda,539,Nalgonda,3,1,3,1,3,3,14,2,
540,3609,Warangal,540,Warangal,3,1,2,1,3,3,13,2,
541,3610,Khammam,541,Khammam,3,2,3,1,3,3,15,3,
542,3701,Srikakulam,542,Srikakulam,3,1,3,1,3,2,13,2,
543,3702,Vizianagaram,543,Vizianagaram,3,1,3,1,3,2,13,2,
544,3703,Vishakhapatnam,544,Visakhapatnam,2,2,3,3,3,3,16,3,
545,3704,East Godavari,545,East Godavari,3,2,3,1,3,3,15,3,
546,3705,West Godavari,546,West Godavari,3,2,3,1,3,3,15,3,
547,3706,Krishna,547,Krishna,2,3,3,3,3,3,17,3,
548,3707,Guntur,548,Guntur,2,2,3,3,3,3,16,3,
549,3708,Prakasam,549,Prakasam,3,1,3,1,3,3,14,2,
550,3709,Nellore,550,Nellore,3,1,3,1,3,3,14,2,
551,,,,,3,1,3,1,3,3,14,2,
552,3711,Kurnool,552,Kurnool,3,2,3,1,3,3,15,3,
553,3712,Anantapuram,553,Anantapur,3,1,3,1,3,3,14,2,
554,3713,Chittoor,554,Chittoor,3,1,3,1,3,3,14,2,
555,2901,Belagavi,555,Belgaum,3,2,3,1,3,3,15,3,
556,2902,Bagalkot,556,Bagalkot ,3,1,3,1,3,3,14,2,
557,2218,Bijapur,557,Bijapur,3,1,2,1,3,3,13,2,
558,2904,Bidar,558,Bidar,3,2,2,1,3,3,14,2,
559,2905,Raichur,559,Raichur,3,1,2,1,3,3,13,2,
560,2906,Koppal,560,Koppal,3,1,2,1,3,3,13,2,
561,2907,Gadag,561,Gadag,3,1,3,1,3,3,14,2,
562,2908,Dharwad,562,Dharwad,3,3,3,3,3,3,18,3,
563,2909,Uttara Kannada,563,Uttara Kannada,3,3,3,3,3,1,16,3,
564,2910,Haveri,564,Haveri,3,1,3,1,3,3,14,2,
565,2911,Bellary,565,Bellary,3,1,3,1,3,3,14,2,
566,2912,Chitradurga,566,Chitradurga,3,1,3,1,3,3,14,2,
567,2913,Davanagere,567,Davanagere,3,1,3,1,3,3,14,2,
568,2914,Shimoga,568,Shimoga,3,3,3,3,3,3,18,3,
569,2915,Udupi,569,Udupi,3,3,3,3,3,1,16,3,
570,2916,Chikkamagaluru,570,Chikmagalur,3,3,3,3,3,3,18,3,
571,2917,Tumkur,571,Tumkur,3,1,3,1,3,3,14,2,
572,2918,Bangalore Urban,572,Bangalore,3,3,3,3,3,3,18,3,
573,2919,Mandya,573,Mandya,3,1,3,1,3,3,14,2,
574,2920,Hassan,574,Hassan,3,1,3,1,3,3,14,2,
575,2921,Dakshina Kannada,575,Dakshina Kannada,3,3,3,3,3,1,16,3,
576,2922,Kodagu,576,Kodagu,3,3,3,3,3,1,16,3,
577,2923,Mysuru,577,Mysore,3,3,3,3,3,3,18,3,
578,2924,Chamarajanagar,578,Chamarajanagar,3,1,2,1,3,3,13,2,
579,2925,Gulbarga,579,Gulbarga,3,2,2,1,3,3,14,2,Yadgir
581,2927,Kolar,581,Kolar,3,3,3,1,3,3,16,3,Chikkaballapura
583,2929,Bangalore Rural,583,Bangalore Rural,3,3,3,1,3,3,16,3,Ramanagara
585,3001,North Goa,585,North Goa,3,3,3,3,3,3,18,3,
586,3002,South Goa,586,South Goa,3,3,3,3,3,3,18,3,
587,3101,Lakshadweep,587,Lakshadweep,3,3,3,3,3,1,16,3,
588,3201,Kasaragod,588,Kasaragod,3,3,3,3,3,1,16,3,
589,3202,Kannur,589,Kannur,3,3,3,3,3,1,16,3,
590,3203,Wayanad,590,Wayanad,3,3,3,3,3,1,16,3,
591,3204,Kozhikode,591,Kozhikode,3,3,3,3,3,1,16,3,
592,3205,Malappuram,592,Malappuram,3,3,3,3,3,1,16,3,
593,3206,Palakkad,593,Palakkad,3,3,3,3,3,1,16,3,
594,3207,Thrissur,594,Thrissur,3,3,3,3,3,1,16,3,
595,3208,Ernakulam,595,Ernakulam,3,3,3,3,3,1,16,3,
596,3209,Idukki,596,Idukki ,3,3,3,3,3,1,16,3,
597,3210,Kottayam,597,Kottayam,3,3,3,3,3,1,16,3,
598,3211,Alappuzha,598,Alappuzha,3,3,3,3,3,1,16,3,
599,3212,Pathanamthitta,599,Pathanamthitta,3,3,3,3,3,1,16,3,
600,3213,Kollam,600,Kollam,3,3,3,1,3,1,14,2,
601,3214,Thiruvananthapuram,601,Thiruvananthapuram,3,3,3,3,3,1,16,3,
602,3301,Tiruvallur,602,Thiruvallur,3,3,3,3,3,3,18,3,
603,3302,Chennai,603,Chennai,3,3,3,3,3,3,18,3,
604,3303,Kanchipuram,604,Kancheepuram,3,3,3,3,3,3,18,3,
605,3304,Vellore,605,Vellore,3,3,3,3,3,3,18,3,
606,3305,Tiruvannamalai,606,Tiruvannamalai,3,1,3,1,3,3,14,2,
607,3306,Villupuram,607,Viluppuram,3,1,3,1,3,3,14,2,
608,3307,Salem,608,Salem,3,3,3,3,3,3,18,3,
609,3308,Namakkal,609,Namakkal   ,3,3,3,3,3,3,18,3,
610,3309,Erode,610,Erode,3,3,3,3,3,3,18,3,
611,3310,Nilgiris,611,The Nilgiris,3,3,3,3,3,3,18,3,
612,3311,Dindigul,612,Dindigul,3,1,3,1,3,3,14,2,
613,3312,Karur,613,Karur ,3,3,3,3,3,3,18,3,
614,3313,Tiruchirappalli,614,Tiruchirappalli,3,3,3,3,3,3,18,3,
615,3314,Perambalur,615,Perambalur  ,3,1,3,1,3,3,14,2,
616,3315,Ariyalur,616,Ariyalur  ,3,1,2,1,3,3,13,2,
617,3316,Cuddalore,617,Cuddalore,3,2,3,1,3,3,15,3,
618,3317,Nagapattinam,618,Nagapattinam  ,3,2,3,1,3,3,15,3,
619,3318,Thiruvarur,619,Thiruvarur,3,2,3,1,3,3,15,3,
620,3319,Thanjavur,620,Thanjavur,3,3,3,3,3,3,18,3,
621,3320,Pudukkottai,621,Pudukkottai,3,1,2,1,3,3,13,2,
622,3321,Sivaganga,622,Sivaganga,3,3,3,3,3,3,18,3,
623,3322,Madurai,623,Madurai,3,3,3,3,3,3,18,3,
624,3323,Theni,624,Theni  ,3,1,3,3,3,3,16,3,
,3324,Virudhunagar,625,Virudhunagar,,,,,,,,,
626,3325,Ramanathapuram,626,Ramanathapuram,3,3,3,3,3,3,18,3,
627,3326,Thoothukudi,627,Thoothukkudi,3,3,3,3,3,3,18,3,
,3327,Tirunelveli,628,Tirunelveli ,,,,,,,,,
629,3328,Kanyakumari,629,Kanniyakumari,3,3,3,3,3,3,18,3,
630,3329,Dharmapuri,630,Dharmapuri,3,3,3,1,3,3,16,3,Krishnagiri
632,3331,Coimbatore,632,Coimbatore,3,3,3,3,3,3,18,3,Tiruppur
634,3401,Yanam,634,Yanam,3,3,3,3,3,3,18,3,
635,3402,Pondicherry,635,Puducherry,3,3,3,3,3,3,18,3,
636,3403,Mahe,636,Mahe,3,3,3,3,3,1,16,3,
637,3404,Karaikal,637,Karaikal,3,3,3,3,3,3,18,3,
638,3501,Nicobar,638,Nicobars,3,3,3,1,3,3,16,3,
639,3502,North and Middle Andaman,639,Andaman,3,3,3,3,3,3,18,3,"South Andaman, North  & Middle Andaman"
