Adilabad,"[""Adilabad""]",3400000
Agra,"[""Agra""]",73400000
Ahmedabad,"[""Ahmedabad""]",2863700000
Ahmednagar,"[""Ahmednagar""]",51600000
Aizawl,"[""Aizawl""]",3800000
Ajmer,"[""Ajmer""]",542000000
Akola,"[""Akola""]",32700000
Alappuzha,"[""Alappuzha""]",40400000
Aligarh,"[""Aligarh""]",10700000
Alipurduar,"[""Alipurduar""]",10100000
Allahabad,"[""Allahabad""]",210200000
Almora,"[""Almora""]",6500000
Alwar,"[""Alwar""]",416400000
Ambala,"[""Ambala""]",6800000
Ambedkar Nagar,"[""Ambedkar Nagar""]",17700000
Amethi,"[""Chatrapati Sahuji Mahraj Nagar"",""Amethi""]",134900000
Amravati,"[""Amravati""]",42200000
Amreli,"[""Amreli""]",8400000
Amritsar,"[""Amritsar""]",33300000
Amroha,"[""Amroha"",""J.P. Nagar""]",10300000
Anand,"[""Anand""]",100900000
Anantapuram,"[""Anantapur"",""Anantapuram""]",184300000
Anantnag,"[""Anantnag""]",8900000
Angul,"[""Angul""]",295400000
Anuppur,"[""Anuppur""]",3600000
Aravalli,"[""Aravalli""]",4100000
Ariyalur,"[""Ariyalur""]",0
Auraiya,"[""Auraiya""]",25600000
Aurangabad,"[""Aurangabad""]",1335900000
Azamgarh,"[""Azamgarh""]",500000
Bagalkot,"[""Bagalkot""]",9800000
Bagpat,"[""Baghpat"",""Bagpat""]",7800000
Bahraich,"[""Bahraich""]",200000
Baksa,"[""Baksa""]",21000000
Balaghat,"[""Balaghat""]",3500000
Balasore,"[""Balasore""]",20600000
Ballia,"[""Ballia""]",3300000
Balrampur,"[""Balrampur""]",5700000
Banaskantha,"[""Banaskantha"",""Palanpur""]",15400000
Bangalore Rural,"[""Bengaluru Rural"",""Bangalore Rural"",""Banglore Rural""]",2402200000
Bangalore Urban,"[""Bengaluru Urban"",""Bangalore Urban"",""Banglore Urban""]",887000000
Banka,"[""Banka""]",1400000
Bankura,"[""Bankura""]",14700000
Banswara,"[""Banswara""]",35700000
Barabanki,"[""Barabanki""]",93200000
Baramulla,"[""Baramulla""]",8900000
Baran,"[""Baran""]",50200000
Bareilly,"[""Bareilly""]",3700000
Bargarh,"[""Bargarh""]",700000
Barmer,"[""Barmer""]",302800000
Barnala,"[""Barnala""]",38900000
Barpeta,"[""Barpeta""]",56300000
Barwani,"[""Barwani""]",3200000
Bastar,"[""Bastar""]",64200000
Basti,"[""Basti""]",13000000
Bathinda,"[""Bathinda""]",12000000
Beed,"[""Beed""]",21400000
Begusarai,"[""Begusarai""]",51100000
Belagavi,"[""Belagavi"",""Belgaum""]",3000000
Bellary,"[""Ballari"",""Bellary""]",99700000
Betul,"[""Betul""]",38600000
Bhadrak,"[""Bhadrak""]",11900000
Bhagalpur,"[""Bhagalpur""]",2100000
Bhandara,"[""Bhandara""]",15300000
Bharatpur,"[""Bharatpur""]",19700000
Bharuch,"[""Bharuch""]",298800000
Bhavnagar,"[""Bhavnagar""]",68400000
Bhilwara,"[""Bhilwara""]",154600000
Bhind,"[""Bhind""]",99200000
Bhiwani,"[""Bhiwani""]",28600000
Bhopal,"[""Bhopal""]",177700000
Bidar,"[""Bidar""]",9000000
Bijapur,"[""Vijayapura"",""Bijapur""]",54700000
Bijnor,"[""Bijnor""]",5600000
Bikaner,"[""Bikaner""]",53500000
Bilaspur,"[""Bilaspur""]",121500000
Birbhum,"[""Birbhum""]",6700000
Bishnupur,"[""Bishnupur""]",9200000
Bokaro,"[""Bokaro""]",13100000
Bongaigaon,"[""Bongaigaon""]",212800000
Botad,"[""Botad""]",200000
Bulandshahar,"[""Bulandshahr"",""Bulandshahar""]",39600000
Buldhana,"[""Buldhana""]",10200000
Bundi,"[""Bundi""]",1300000
Buxar,"[""Buxar""]",2500000
Cachar,"[""Cachar""]",2500000
Central Delhi,"[""Central Delhi""]",120200000
Chamarajanagar,"[""Chamarajanagar""]",3700000
Chamba,"[""Chamba""]",5600000
Chamoli,"[""Chamoli""]",104000000
Chandigarh,"[""Chandigarh""]",142900000
Chandrapur,"[""Chandrapur""]",40000000
Changlang,"[""Changlang""]",1300000
Chennai,"[""Chennai""]",3279800000
Chhatarpur,"[""Chhatarpur""]",15100000
Chhindwara,"[""Chhindwara""]",9000000
Chikkamagaluru,"[""Chikkamagaluru"",""Chikmagalur""]",4500000
Chirang,"[""Chirang""]",400000
Chitradurga,"[""Chitradurga""]",83900000
Chittaurgarh,"[""Chittorgarh"",""Chittaurgarh""]",97400000
Chittoor,"[""Chittoor""]",143300000
Churu,"[""Churu""]",14700000
Coimbatore,"[""Coimbatore""]",596200000
Cuddalore,"[""Cuddalore""]",67600000
Cuttack,"[""Cuttack""]",139500000
Dahod,"[""Dahod""]",72300000
Dakshina Kannada,"[""Dakshina Kannada""]",11400000
Daman,"[""Daman""]",10300000
Damoh,"[""Damoh""]",3200000
Dang,"[""Dangs"",""Dang"",""Ahwa""]",12400000
Darbhanga,"[""Darbhanga""]",2600000
Darjeeling,"[""Darjeeling""]",32900000
Darrang,"[""Darrang""]",1100000
Datia,"[""Datia""]",200000
Dehradun,"[""Dehradun""]",183700000
Delhi,"[""New Delhi"",""Delhi""]",936000000
Deoghar,"[""Deoghar""]",11700000
Dewas,"[""Dewas""]",35000000
Dhanbad,"[""Dhanbad""]",153600000
Dhar,"[""Dhar""]",2700000
Dharmapuri,"[""Dharmapuri""]",25200000
Dharwad,"[""Dharwad""]",80000000
Dhaulpur,"[""Dholpur"",""Dhaulpur""]",1800000
Dhemaji,"[""Dhemaji""]",1000000
Dhenkanal,"[""Dhenkanal""]",35600000
Dhubri,"[""Dhubri""]",37100000
Dhule,"[""Dhule""]",52700000
Dibang Valley,"[""Dibang Valley""]",1300000
Dibrugarh,"[""Dibrugarh""]",61000000
Dimapur,"[""Dimapur""]",5000000
Dindigul,"[""Dindigul""]",53900000
Dindori,"[""Dindori""]",7900000
Doda,"[""Doda""]",0
Dumka,"[""Dumka""]",3700000
Dungarpur,"[""Dungarpur""]",21700000
Durg,"[""Durg""]",123900000
East Delhi,"[""East Delhi""]",1231800000
East Godavari,"[""East Godavari""]",71500000
East Kameng,"[""East Kameng""]",1100000
East Khasi Hills,"[""East Khasi Hills""]",44700000
East Sikkim,"[""East Sikkim""]",4500000
Ernakulam,"[""Ernakulam""]",551900000
Erode,"[""Erode""]",26300000
Etah,"[""Etah""]",1800000
Faizabad,"[""Faizabad""]",700000
Faridabad,"[""Faridabad""]",165300000
Ferozepur,"[""Ferozepur"",""Firozpur""]",23100000
Firozabad,"[""Firozabad""]",100000
Gadag,"[""Gadag""]",28400000
Gadchiroli,"[""Gadchiroli""]",33500000
Gandhinagar,"[""Gandhinagar""]",79800000
Ganjam,"[""Ganjam""]",7500000
Gautam Buddh Nagar,"[""Gautam Buddha Nagar"",""Gautam Buddh Nagar""]",1061200000
Gaya,"[""Gaya""]",19100000
Ghaziabad,"[""Ghaziabad""]",95900000
Ghazipur,"[""Ghazipur""]",125700000
Giridih,"[""Giridih""]",11500000
Goalpara,"[""Goalpara""]",3700000
Godda,"[""Godda""]",300000
Golaghat,"[""Golaghat""]",197100000
Gonda,"[""Gonda""]",1300000
Gondia,"[""Gondia""]",95300000
Gorakhpur,"[""Gorakhpur""]",13500000
Gulbarga,"[""Kalaburagi"",""Gulbarga""]",17000000
Gumla,"[""Gumla""]",200000
Guna,"[""Guna""]",100000
Guntur,"[""Guntur""]",125000000
Gurgaon,"[""Gurgaon"",""Gurugram""]",1166800000
Gwalior,"[""Gwalior""]",16400000
Hailakandi,"[""Hailakandi""]",0
Hamirpur,"[""Hamirpur""]",5800000
Hanumangarh,"[""Hanumangarh""]",200000
Hapur,"[""Hapur"",""Panchsheel Nagar""]",5900000
Hardoi,"[""Hardoi""]",800000
Haridwar,"[""Haridwar""]",375900000
Hassan,"[""Hassan""]",14300000
Haveri,"[""Haveri""]",7800000
Hazaribagh,"[""Hazaribag"",""Hazaribagh""]",21200000
Hisar,"[""Hisar""]",490500000
Hooghly,"[""Hooghly""]",13500000
Hoshangabad,"[""Hoshangabad""]",21800000
Hoshiarpur,"[""Hoshiarpur""]",64800000
Howrah,"[""Howrah""]",30200000
Hyderabad,"[""Hyderabad""]",1033200000
Idukki,"[""Idukki""]",9400000
Imphal East,"[""Imphal East""]",2600000
Indore,"[""Indore""]",135200000
Jabalpur,"[""Jabalpur""]",61200000
Jaipur,"[""Jaipur""]",475400000
Jaisalmer,"[""Jaisalmer""]",55100000
Jajpur,"[""Jajpur""]",19200000
Jalandhar,"[""Jalandhar""]",4800000
Jalgaon,"[""Jalgaon""]",100200000
Jalna,"[""Jalna""]",532900000
Jalore,"[""Jalore""]",15100000
Jalpaiguri,"[""Jalpaiguri""]",18900000
Jammu,"[""Jammu""]",33500000
Jamnagar,"[""Jamnagar""]",62100000
Jamui,"[""Jamui""]",0
Jashpur,"[""Jashpur""]",6400000
Jaunpur,"[""Jaunpur""]",6600000
Jehanabad,"[""Jehanabad""]",4800000
Jhabua,"[""Jhabua""]",39900000
Jhajjar,"[""Jhajjar""]",147100000
Jhalawar,"[""Jhalawar""]",83100000
Jhansi,"[""Jhansi""]",32900000
Jharsuguda,"[""Jharsuguda""]",112700000
Jhunjhunu,"[""Jhunjhunu""]",72700000
Jind,"[""Jind""]",1400000
Jodhpur,"[""Jodhpur""]",344300000
Jorhat,"[""Jorhat""]",10700000
Junagadh,"[""Junagadh""]",6800000
Kachchh,"[""Kachchh"",""Kutch""]",149200000
Kadapa,"[""YSR District Kadapa"",""Kadapa"",""Cuddapah""]",14200000
Kaithal,"[""Kaithal""]",400000
Kalahandi,"[""Kalahandi""]",116700000
Kamrup,"[""Kamrup""]",58900000
Kanchipuram,"[""Kanchipuram""]",21800000
Kandhamal,"[""Kandhamal""]",4000000
Kangra,"[""Kangra""]",800000
Kanker,"[""Kanker"",""North Bastar""]",34300000
Kannur,"[""Kannur""]",3700000
Kanpur Dehat,"[""Kanpur Dehat""]",54000000
Kanpur Nagar,"[""Kanpur Nagar""]",101700000
Kanyakumari,"[""Kanyakumari""]",16000000
Kapurthala,"[""Kapurthala""]",14800000
Karaikal,"[""Karaikal""]",4800000
Karauli,"[""Karauli""]",300000
Karbi Anglong,"[""Karbi Anglong""]",600000
Kargil,"[""Kargil""]",11900000
Karimnagar,"[""Karimnagar""]",130800000
Karnal,"[""Karnal""]",11100000
Karur,"[""Karur""]",17300000
Kathua,"[""Kathua""]",500000
Katihar,"[""Katihar""]",0
Katni,"[""Katni""]",22800000
Khagaria,"[""Khagaria""]",8000000
Khammam,"[""Khammam""]",65900000
Khandwa,"[""Khandwa""]",106900000
Khargone,"[""Khargone""]",7600000
Kheda,"[""Kheda"",""Nadiad""]",15100000
Khordha,"[""Khordha""]",63500000
Khunti,"[""Khunti""]",3600000
Kishanganj,"[""Kishanganj""]",1000000
Kodagu,"[""Kodagu""]",10500000
Koderma,"[""Koderma""]",100000
Kohima,"[""Kohima""]",0
Kokrajhar,"[""Kokrajhar""]",4700000
Kolar,"[""Kolar""]",143500000
Kolhapur,"[""Kolhapur""]",115400000
Kolkata,"[""Kolkata""]",2064800000
Kollam,"[""Kollam""]",4400000
Koppal,"[""Koppal""]",6800000
Koraput,"[""Koraput""]",280100000
Korba,"[""Korba""]",1428300000
Kota,"[""Kota""]",148200000
Kottayam,"[""Kottayam""]",33800000
Kozhikode,"[""Kozhikode""]",17700000
Krishna,"[""Krishna""]",552100000
Krishnagiri,"[""Krishnagiri""]",64200000
Kullu,"[""Kullu""]",300000
Kupwara,"[""Kupwara""]",200000
Kurnool,"[""Kurnool""]",141700000
Kurukshetra,"[""Kurukshetra""]",3900000
Kushinagar,"[""Kushinagar"",""Padrauna""]",8600000
Lahaul And Spiti,"[""Lahaul & Spiti"",""Lahaul And Spiti"",""Lahaul Spiti""]",1700000
Lakhimpur,"[""Lakhimpur""]",127500000
Lakhisarai,"[""Lakhisarai""]",1300000
Lakshadweep,"[""Lakshadweep""]",0
Lalitpur,"[""Lalitpur""]",21900000
Latur,"[""Latur""]",63600000
Leh,"[""Leh""]",2600000
Lower Dibang Valley,"[""Lower Dibang Valley""]",1100000
Lucknow,"[""Lucknow""]",197200000
Ludhiana,"[""Ludhiana""]",402800000
Madhubani,"[""Madhubani""]",0
Madurai,"[""Madurai""]",84500000
Mahabubnagar,"[""Mahabubnagar"",""Mahbubnagar""]",21900000
Maharajganj,"[""Maharajganj""]",14400000
Mahasamund,"[""Mahasamund""]",1500000
Mahoba,"[""Mahoba""]",1400000
Malappuram,"[""Malappuram""]",5100000
Malda,"[""Malda""]",700000
Malkangiri,"[""Malkangiri""]",100000
Mandi,"[""Mandi""]",6700000
Mandla,"[""Mandla""]",500000
Mandsaur,"[""Mandsaur""]",2400000
Mandya,"[""Mandya""]",2100000
Mansa,"[""Mansa""]",20600000
Mathura,"[""Mathura""]",212800000
Mau,"[""Mau""]",3200000
Mayurbhanj,"[""Mayurbhanj""]",1100000
Medak,"[""Medak""]",43500000
Medchal,"[""Medchal""]",0
Meerut,"[""Meerut""]",16000000
Mehsana,"[""Mehsana""]",39400000
Mewat,"[""Mewat""]",74500000
Mirzapur,"[""Mirzapur""]",100000
Moga,"[""Moga""]",600000
Mon,"[""Mon""]",6700000
Moradabad,"[""Moradabad""]",33800000
Morbi,"[""Morbi""]",14600000
Morena,"[""Morena""]",1700000
Morigaon,"[""Morigaon""]",1100000
Mumbai,"[""Mumbai City"",""Mumbai""]",5058000000
Mumbai Suburban,"[""Mumbai Suburban""]",3300000
Munger,"[""Munger"",""Monghyr""]",1500000
Murshidabad,"[""Murshidabad""]",12700000
Muzaffarnagar,"[""Muzaffarnagar""]",4200000
Muzaffarpur,"[""Muzaffarpur""]",8600000
Mysuru,"[""Mysuru"",""Mysore""]",40100000
Nadia,"[""Nadia""]",318900000
Nagaon,"[""Nagaon""]",11400000
Nagapattinam,"[""Nagapattinam""]",42600000
Nagaur,"[""Nagaur""]",343900000
Nagpur,"[""Nagpur""]",476400000
Nainital,"[""Nainital""]",2600000
Nalanda,"[""Nalanda""]",5300000
Nalbari,"[""Nalbari""]",1100000
Nalgonda,"[""Nalgonda""]",49600000
Namakkal,"[""Namakkal""]",0
Nanded,"[""Nanded""]",25800000
Nandurbar,"[""Nandurbar""]",31800000
Narmada,"[""Narmada"",""Rajpipla""]",241000000
Narsinghpur,"[""Narsinghpur""]",5900000
Nashik,"[""Nashik""]",347700000
Navsari,"[""Navsari""]",6200000
Nayagarh,"[""Nayagarh""]",5800000
Neemuch,"[""Neemuch""]",4200000
Nilgiris,"[""Nilgiris""]",13900000
Nizamabad,"[""Nizamabad""]",500000
North 24 Parganas,"[""North 24 Parganas""]",15900000
North Delhi,"[""North Delhi""]",25000000
North Goa,"[""North Goa""]",29300000
North Tripura,"[""North Tripura""]",0
Osmanabad,"[""Osmanabad""]",10100000
Pakur,"[""Pakur""]",100000
Palakkad,"[""Palakkad""]",17800000
Palamu,"[""Palamu""]",0
Palghar,"[""Palghar""]",238800000
Pali,"[""Pali""]",43700000
Palwal,"[""Palwal""]",18300000
Panchkula,"[""Panchkula""]",10900000
Panchmahal,"[""Panchmahal"",""Godhra""]",9300000
Panipat,"[""Panipat""]",34200000
Papum Pare,"[""Papum Pare""]",1300000
Parbhani,"[""Parbhani""]",159500000
Patan,"[""Patan""]",68200000
Pathanamthitta,"[""Pathanamthitta""]",6600000
Patiala,"[""Patiala""]",5500000
Patna,"[""Patna""]",61200000
Pauri Garhwal,"[""Pauri Garhwal""]",100000
Perambalur,"[""Perambalur""]",1200000
Phek,"[""Phek""]",300000
Pilibhit,"[""Pilibhit""]",11900000
Pithoragarh,"[""Pithoragarh""]",1700000
Pondicherry,"[""Pondicherry"",""Puducherry""]",70200000
Porbandar,"[""Porbandar""]",13300000
Prakasam,"[""Prakasam""]",100000
Pratapgarh,"[""Pratapgarh""]",17300000
Pudukkottai,"[""Pudukkottai""]",1100000
Pulwama,"[""Pulwama""]",17500000
Pune,"[""Pune""]",3935500000
Puri,"[""Puri""]",31500000
Purulia,"[""Purulia""]",12300000
Rae Bareli,"[""RaeBareli"",""Rae Bareli""]",33200000
Raichur,"[""Raichur""]",33000000
Raigad,"[""Raigad""]",1419400000
Raigarh,"[""Raigarh""]",243200000
Raipur,"[""Raipur""]",593700000
Raisen,"[""Raisen""]",17000000
Rajkot,"[""Rajkot""]",194600000
Rajnandgaon,"[""Rajnandgaon""]",40800000
Rajsamand,"[""Rajsamand""]",51900000
Ramanagara,"[""Ramanagara""]",17100000
Ramanathapuram,"[""Ramanathapuram""]",9300000
Ramban,"[""Ramban""]",0
Rampur,"[""Rampur""]",34800000
Ranchi,"[""Ranchi""]",287300000
Ranga Reddy,"[""Rangareddy"",""Ranga Reddy""]",61100000
Ratlam,"[""Ratlam""]",2300000
Ratnagiri,"[""Ratnagiri""]",88000000
Rayagada,"[""Rayagada""]",4100000
Rewa,"[""Rewa""]",18400000
Rewari,"[""Rewari""]",16900000
Rohtak,"[""Rohtak""]",20400000
Rudraprayag,"[""Rudraprayag""]",9500000
Sabarkatha,"[""Sabarkantha"",""Sabarkatha"",""Himmatnagar""]",34600000
Sagar,"[""Sagar""]",13600000
Saharanpur,"[""Saharanpur""]",23800000
Saharsa,"[""Saharsa""]",11000000
Sahibzada Ajit Singh Nagar,"[""Sahibzada Ajit Singh Nagar"",""Mohali""]",31300000
Saiha,"[""Saiha""]",300000
Salem,"[""Salem""]",54100000
Samastipur,"[""Samastipur""]",4400000
Samba,"[""Samba""]",8900000
Sambalpur,"[""Sambalpur""]",182800000
Sambhal,"[""Sambhal"",""Bhim Nagar""]",500000
Sangareddy,"[""Sangareddy""]",3900000
Sangli,"[""Sangli""]",22400000
Sangrur,"[""Sangrur""]",29500000
Sant Kabir Nagar,"[""Sant Kabir Nagar""]",8200000
Saran,"[""Saran""]",2500000
Satara,"[""Satara""]",49400000
Satna,"[""Satna""]",39300000
Sawai Madhopur,"[""Sawai Madhopur""]",17100000
Sehore,"[""Sehore""]",63700000
Senapati,"[""Senapati""]",2900000
Seoni,"[""Seoni""]",2500000
Shahdol,"[""Shahdol""]",5500000
Shahjahanpur,"[""Shahjahanpur""]",212900000
Sheopur,"[""Sheopur""]",12900000
Shimla,"[""Shimla""]",22000000
Shimoga,"[""Shivamogga"",""Shimoga""]",30800000
Shrawasti,"[""Shravasti"",""Shrawasti""]",200000
Siddipet,"[""Siddipet""]",1600000
Sidhi,"[""Sidhi""]",53500000
Sikar,"[""Sikar""]",16100000
Simdega,"[""Simdega""]",4500000
Sindhudurg,"[""Sindhudurg""]",5600000
Singrauli,"[""Singrauli""]",1007500000
Sirohi,"[""Sirohi""]",40500000
Sirsa,"[""Sirsa""]",4000000
Sitamarhi,"[""Sitamarhi""]",108400000
Sitapur,"[""Sitapur""]",13100000
Sivaganga,"[""Sivaganga""]",58000000
Siwan,"[""Siwan""]",800000
Solan,"[""Solan""]",521800000
Solapur,"[""Solapur""]",42200000
Sonbhadra,"[""Sonbhadra""]",22800000
Sonepat,"[""Sonipat"",""Sonepat""]",101500000
Sonitpur,"[""Sonitpur""]",19300000
South 24 Parganas,"[""South 24 Parganas""]",6500000
South Delhi,"[""South Delhi""]",151000000
South East Delhi,"[""South East Delhi""]",1200000
South Goa,"[""South Goa""]",19700000
South Sikkim,"[""South Sikkim""]",6400000
South Tripura,"[""South Tripura""]",4400000
Sri Ganganagar,"[""Sri Ganganagar"",""Ganganagar""]",0
Sri Muktsar Sahib,"[""Muktsar"",""Sri Muktsar Sahib""]",4700000
Srikakulam,"[""Srikakulam""]",149600000
Srinagar,"[""Srinagar""]",676300000
Sultanpur,"[""Sultanpur""]",2100000
Surajpur,"[""Surajpur""]",4300000
Surat,"[""Surat""]",429500000
Surendranagar,"[""Surendranagar""]",48800000
Surguja,"[""Surguja""]",60200000
Suryapet,"[""Suryapet""]",15300000
Tapi,"[""Tapi"",""Vyara""]",6700000
Tarn Taran,"[""Tarn Taran""]",200000
Tehri Garhwal,"[""Tehri Garhwal""]",398900000
Thane,"[""Thane""]",564000000
Thanjavur,"[""Thanjavur""]",172000000
Theni,"[""Theni""]",4800000
Thiruvananthapuram,"[""Thiruvananthapuram""]",175800000
Thiruvarur,"[""Tiruvarur"",""Thiruvarur""]",7500000
Thoothukudi,"[""Thoothukudi"",""Tuticorin""]",140700000
Thoubal,"[""Thoubal""]",800000
Thrissur,"[""Thrissur""]",347700000
Tikamgarh,"[""Tikamgarh""]",800000
Tinsukia,"[""Tinsukia""]",182600000
Tiruchirappalli,"[""Tiruchirappalli""]",97200000
Tirunelveli,"[""Tirunelveli""]",115700000
Tiruppur,"[""Tiruppur""]",1600000
Tiruvallur,"[""Tiruvallur""]",4200000
Tiruvannamalai,"[""Tiruvannamalai""]",4300000
Tonk,"[""Tonk""]",2100000
Tumkur,"[""Tumakuru"",""Tumkur""]",23600000
Udaipur,"[""Udaipur""]",231100000
Udalguri,"[""Udalguri""]",19400000
Udham Singh Nagar,"[""Udham Singh Nagar""]",3800000
Udhampur,"[""Udhampur""]",12200000
Udupi,"[""Udupi""]",739100000
Ujjain,"[""Ujjain""]",36600000
Una,"[""Una""]",5400000
Unakoti,"[""Unakoti""]",3600000
Unnao,"[""Unnao""]",1800000
Uttara Kannada,"[""Uttara Kannada"",""Karwar""]",7000000
Uttarkashi,"[""Uttarkashi""]",20300000
Vadodara,"[""Vadodara""]",440400000
Vaishali,"[""Vaishali""]",56800000
Valsad,"[""Valsad""]",80000000
Varanasi,"[""Varanasi""]",298400000
Vellore,"[""Vellore""]",2214400000
Vidisha,"[""Vidisha""]",4300000
Virudhunagar,"[""Virudhunagar""]",67400000
Vishakhapatnam,"[""Visakhapatnam"",""Vishakhapatnam""]",406500000
Vizianagaram,"[""Vizianagaram""]",2800000
Warangal Urban,"[""Warangal Urban""]",16200000
Wardha,"[""Wardha""]",226200000
Washim,"[""Washim""]",200000
Wayanad,"[""Wayanad""]",11100000
West Delhi,"[""West Delhi""]",558300000
West Godavari,"[""West Godavari""]",65100000
West Singhbhum,"[""West Singhbhum""]",11000000
West Tripura,"[""West Tripura""]",10900000
Yamuna Nagar,"[""Yamunanagar"",""Yamuna Nagar""]",17800000
Yavatmal,"[""Yavatmal""]",31400000
