,company,CIN,Constituency,state,district,Party,Winning Candidate,LokSabha_Ministry,LokSabha_MinCode,rs_min_name,rs_min_ministry,ministriesInfluenced,buss_sector,amount
0,UNITED BREWERIES LIMITED,L36999KA1999PLC025195,VIZIANAGARAM,ANDHRA PRADESH,SRIKAKULAM,Telugu Desam,Ashok Gajapathi Raju Pusapati,['Civil Aviation'],[36.0],[],[],"[4, 9, 11, 13, 16, 20, 21, 24, 27, 31, 32, 33, 36, 50]",Manufacturing (Others),"2,100,000.00"
1,NTPC LIMITED,L40101DL1975GOI007966,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","17,400,000.00"
2,HSBC INVESTDIRECT FINANCIAL SERVICES (INDIA) LIMITED,U67190MH1996PLC097473,MUNGER,BIHAR,PATNA,Lok Jan Shakti Party,Veena Devi,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 20, 21, 24, 32]",Finance,"4,100,000.00"
3,HSBC INVESTDIRECT FINANCIAL SERVICES (INDIA) LIMITED,U67190MH1996PLC097473,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 20, 21, 24, 32]",Finance,"4,100,000.00"
4,HSBC INVESTDIRECT FINANCIAL SERVICES (INDIA) LIMITED,U67190MH1996PLC097473,PATNA SAHIB,BIHAR,PATNA,Bharatiya Janta Party,Shatrughana Sinha,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 20, 21, 24, 32]",Finance,"4,100,000.00"
5,POWER GRID CORPORATION OF INDIA LIMITED,L40101DL1989GOI038121,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","1,000,000.00"
6,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED,U66010DL2007PLC248825,MUNGER,BIHAR,PATNA,Lok Jan Shakti Party,Veena Devi,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[1, 8, 16, 20, 21, 24, 32]",Insurance,"500,000.00"
7,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED,U66010DL2007PLC248825,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[1, 8, 16, 20, 21, 24, 32]",Insurance,"500,000.00"
8,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED,U66010DL2007PLC248825,PATNA SAHIB,BIHAR,PATNA,Bharatiya Janta Party,Shatrughana Sinha,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[1, 8, 16, 20, 21, 24, 32]",Insurance,"500,000.00"
9,IDBI BANK LIMITED,L65190MH2004GOI148838,MUNGER,BIHAR,PATNA,Lok Jan Shakti Party,Veena Devi,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 20, 21, 24, 32]",Finance,"400,000.00"
10,IDBI BANK LIMITED,L65190MH2004GOI148838,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 20, 21, 24, 32]",Finance,"400,000.00"
11,IDBI BANK LIMITED,L65190MH2004GOI148838,PATNA SAHIB,BIHAR,PATNA,Bharatiya Janta Party,Shatrughana Sinha,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 20, 21, 24, 32]",Finance,"400,000.00"
12,NATIONAL INSURANCE CO LTD,U10200WB1906GOI001713,MUNGER,BIHAR,PATNA,Lok Jan Shakti Party,Veena Devi,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 17, 20, 21, 24, 30, 38]",Mining & Quarrying,"200,000.00"
13,NATIONAL INSURANCE CO LTD,U10200WB1906GOI001713,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 17, 20, 21, 24, 30, 38]",Mining & Quarrying,"200,000.00"
14,NATIONAL INSURANCE CO LTD,U10200WB1906GOI001713,PATNA SAHIB,BIHAR,PATNA,Bharatiya Janta Party,Shatrughana Sinha,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 17, 20, 21, 24, 30, 38]",Mining & Quarrying,"200,000.00"
15,BIHAR STATE POWER TRANSMISSION COMPANY LIMITED,U40102BR2012SGC018889,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","200,000.00"
16,WAPCOS LIMITED,U74899DL1969GOI005070,MUNGER,BIHAR,PATNA,Lok Jan Shakti Party,Veena Devi,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
17,WAPCOS LIMITED,U74899DL1969GOI005070,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
18,WAPCOS LIMITED,U74899DL1969GOI005070,PATNA SAHIB,BIHAR,PATNA,Bharatiya Janta Party,Shatrughana Sinha,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
19,SYNGENTA INDIA LIMITED,U24210PN2000PLC135336,NORTH GOA,GOA,NORTH GOA,Bharatiya Janta Party,Shripad Yesso Naik,"['Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy (AYUSH), (Independent Charge)', 'Health and Family Welfare']","[42.0, 46.0]",[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","2,800,000.00"
20,CREST VENTURES LIMITED,L99999MH1982PLC102697,NORTH GOA,GOA,NORTH GOA,Bharatiya Janta Party,Shripad Yesso Naik,"['Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy (AYUSH), (Independent Charge)', 'Health and Family Welfare']","[42.0, 46.0]",[],[],"[1, 2, 6, 8, 9, 11, 16, 19, 20, 21, 23, 24, 27, 28, 32, 33, 37, 40, 46]",Others,"200,000.00"
21,SAT KAIVAL HOSPITAL PRIVATE LIMITED,U85110GJ2009PTC056671,ANAND,GUJARAT,ANAND,Bharatiya Janta Party,Dilip Patel,[],[],['Smriti Irani'],[7],"[1, 2, 3, 5, 7, 8, 16, 20, 21, 24, 28, 33, 39, 42, 46, 48, 49]","Community, personal & Social Services","1,400,000.00"
22,TORRENT PHARMACEUTICALS LTD,L24230GJ1972PLC002126,BANASKANTHA,GUJARAT,BANASKANTHA,Bharatiya Janta Party,Chaudhary Haribhai Parthibhai,['Home Affairs'],[33.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","10,000,000.00"
23,CD EQUIFINANCE PRIVATE LIMITED,U65999WB1985PTC039880,KHEDA,GUJARAT,KHEDA,Bharatiya Janta Party,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),[],[],['Arun Jaitley'],"[21, 16, 19]","[16, 20, 21, 24, 32]",Finance,"4,000,000.00"
24,CD EQUIFINANCE PRIVATE LIMITED,U65999WB1985PTC039880,PANCHMAHAL,GUJARAT,KHEDA,Bharatiya Janta Party,Chauhan Prabhatsinh Pratapsinh,[],[],['Arun Jaitley'],"[21, 16, 19]","[16, 20, 21, 24, 32]",Finance,"4,000,000.00"
25,ABC BEARINGS LIMITED,L29130MH1961PLC012028,KHEDA,GUJARAT,KHEDA,Bharatiya Janta Party,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),[],[],['Arun Jaitley'],"[21, 16, 19]","[4, 12, 13, 16, 20, 21, 24, 37]",Manufacturing (Machinery & Equipments),"2,500,000.00"
26,ABC BEARINGS LIMITED,L29130MH1961PLC012028,PANCHMAHAL,GUJARAT,KHEDA,Bharatiya Janta Party,Chauhan Prabhatsinh Pratapsinh,[],[],['Arun Jaitley'],"[21, 16, 19]","[4, 12, 13, 16, 20, 21, 24, 37]",Manufacturing (Machinery & Equipments),"2,500,000.00"
27,RELIANCE VENTURES LIMITED,U24120MH1999PLC121009,KHEDA,GUJARAT,KHEDA,Bharatiya Janta Party,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),[],[],['Arun Jaitley'],"[21, 16, 19]","[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","200,000.00"
28,RELIANCE VENTURES LIMITED,U24120MH1999PLC121009,PANCHMAHAL,GUJARAT,KHEDA,Bharatiya Janta Party,Chauhan Prabhatsinh Pratapsinh,[],[],['Arun Jaitley'],"[21, 16, 19]","[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","200,000.00"
29,UNIVERSAL MEDICAP LIMITED,U24230GJ1992PLC018009,KHEDA,GUJARAT,KHEDA,Bharatiya Janta Party,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),[],[],['Arun Jaitley'],"[21, 16, 19]","[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","100,000.00"
30,UNIVERSAL MEDICAP LIMITED,U24230GJ1992PLC018009,PANCHMAHAL,GUJARAT,KHEDA,Bharatiya Janta Party,Chauhan Prabhatsinh Pratapsinh,[],[],['Arun Jaitley'],"[21, 16, 19]","[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","100,000.00"
31,AJANTA PRIVATE LIMITED,U33300GJ1989PTC013081,RAJKOT,GUJARAT,MORBI,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 12, 13, 16, 20, 21, 24, 37]",Manufacturing (Machinery & Equipments),"14,400,000.00"
32,NIRMA LIMITED,U24240GJ1980PLC003670,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","15,100,000.00"
33,NIRMA CHEMICAL WORKS PRIVATE LIMITED,U24231GJ1994PTC023482,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","12,500,000.00"
34,DISHMAN PHARMACEUTICALS AND CHEMICALS LIMITED,L24230GJ1983PLC006329,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","10,000,000.00"
35,FM PBW BEARINGS PRIVATE LIMITED,U27101GJ2014PTC078162,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","3,700,000.00"
36,FORGE AND FORGE PRIVATE LIMITED,U28910GJ1974PTC002548,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","2,000,000.00"
37,GUJARAT INTRUX LIMITED,L24129GJ1992PLC016917,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","1,400,000.00"
38,PRASHANT CASTECH PRIVATE LIMITED,U27310GJ2009PTC056501,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","1,300,000.00"
39,RAJOO ENGINEERS LIMITED,L27100GJ1986PLC009212,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","1,200,000.00"
40,INTRICAST PRIVATE LIMITED,U27310GJ1987PTC010182,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","1,000,000.00"
41,ESSEN MULTIPACK LIMITED,U25209GJ1994PLC022139,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","300,000.00"
42,RELIANCE VENTURES LIMITED,U24120MH1999PLC121009,RAJKOT,GUJARAT,RAJKOT,Bharatiya Janta Party,Kundariya Mohanbhai Kalyanjibhai,['Agriculture'],[37.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)",0.00
43,BHARAT HEAVY ELECTRICALS LIMITED,L74899DL1964GOI004281,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"247,000,000.00"
44,ESSEL MINING & INDUSTRIES LTD.,U51109WB1950PLC018728,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[9, 11, 12, 16, 20, 21, 24, 26, 27, 28, 30, 31, 32, 34, 37, 41]",Trading,"22,500,000.00"
45,CARRIER AIRCONDITIONING & REFRIGERATION LIMITED,U74999HR1992FLC036104,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"18,200,000.00"
46,RITES LIMITED,U74899DL1974GOI007227,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"12,300,000.00"
47,AMBIENCE PRIVATE LIMITED,U51503DL1986PTC023886,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[9, 11, 12, 16, 20, 21, 24, 26, 27, 28, 30, 31, 32, 34, 37, 41]",Trading,"9,700,000.00"
48,KPMG GLOBAL SERVICES PRIVATE LIMITED,U74140HR2010PTC041413,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"8,600,000.00"
49,SANDHAR TECHNOLOGIES LIMITED,U74999DL1987PLC029553,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"5,800,000.00"
50,SUBROS LIMITED,L74899DL1985PLC020134,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"5,300,000.00"
51,BOEING INTERNATIONAL CORPORATION INDIA PRIVATE LIMITED,U72900DL2003PTC123398,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"5,000,000.00"
52,COMVIVA TECHNOLOGIES LIMITED,U72200HR1999PLC041214,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"4,700,000.00"
53,DEVYANI FOOD INDUSTRIES LIMITED,U74899DL1991PLC046403,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"2,600,000.00"
54,AMBIENCE DEVELOPERS & INFRASTRUCTURE PRIVATE LIMITED.,U74899DL1991PTC046129,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"2,500,000.00"
55,MINDARIKA PRIVATE LIMITED,U74899DL1995PTC073692,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"1,900,000.00"
56,NIKON INDIA PRIVATE LIMITED,U74999HR2007FTC036820,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"1,800,000.00"
57,OZONE OVERSEAS PRIVATE LIMITED,U51101DL1999PTC102039,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[9, 11, 12, 16, 20, 21, 24, 26, 27, 28, 30, 31, 32, 34, 37, 41]",Trading,"1,500,000.00"
58,CARGILL GLOBAL TRADING INDIA PRIVATE LIMITED,U51909DL2002PTC118226,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[9, 11, 12, 16, 20, 21, 24, 26, 27, 28, 30, 31, 32, 34, 37, 41]",Trading,"1,500,000.00"
59,ASIAN HOTELS (NORTH) LIMITED,L55101DL1980PLC011037,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[9, 11, 12, 16, 20, 21, 24, 26, 27, 28, 30, 31, 32, 34, 37, 41]",Trading,"1,500,000.00"
60,CHANG YUN INDIA PRIVATE LIMITED,U51909DL1992PTC049978,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[9, 11, 12, 16, 20, 21, 24, 26, 27, 28, 30, 31, 32, 34, 37, 41]",Trading,"1,500,000.00"
61,ERICSSON INDIA PRIVATE LIMITED,U74120DL2008FTC180337,GURGAON,HARYANA,GURUGRAM,Bharatiya Janta Party,Inderjit Singh Rao,"['Planning (Independent Charge)', 'Defence']",[9.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"1,300,000.00"
