d.name,count(distinct(c))
Howrah,3
Ludhiana,8
Chennai,58
Kolar,1
Solapur,2
Sonbhadra,1
Faridabad,10
Mehsana,2
Nashik,8
Bilaspur,1
Thanjavur,1
Rewa,1
Sambhal,1
Patan,1
Pondicherry,1
Sangrur,1
Khammam,3
Dehradun,1
Tiruvallur,1
Udham Singh Nagar,1
Kolhapur,1
Varanasi,2
Belagavi,1
Ajmer,2
Porbandar,2
Khargone,1
Baran,2
West Godavari,1
Srikakulam,2
Alwar,5
Jhajjar,2
East Godavari,3
Dewas,3
Cuddalore,1
Jammu,1
Dharwad,1
Thrissur,2
Rampur,1
Erode,1
Karimnagar,2
Jabalpur,1
Sahibzada Ajit Singh Nagar,1
Ernakulam,7
Balasore,1
Udaipur,1
Vellore,1
Raigad,7
Patiala,1
South 24 Parganas,1
Mahabubnagar,1
Palghar,2
Kota,2
Angul,1
Kachchh,6
Bhandara,1
Raigarh,1
Virudhunagar,2
Banswara,1
Indore,6
Thane,14
Shahdol,2
Thoothukudi,2
Kolkata,34
Ghaziabad,3
Bharuch,9
Gadchiroli,1
Vadodara,9
Raipur,6
Jajpur,1
Bangalore Rural,8
Bhiwani,1
Bellary,2
Ambedkar Nagar,1
Korba,1
Mon,1
Bhavnagar,1
Auraiya,1
Rewari,2
Koppal,1
Surat,6
Pune,49
Barnala,1
Bhopal,4
Dibrugarh,2
Durg,1
Jhalawar,1
Sikar,1
Salem,1
Anand,4
Raisen,1
Madurai,2
Bangalore Urban,9
Tirunelveli,1
Kanpur Nagar,3
Bhilwara,2
Bidar,1
Amroha,1
Chandrapur,2
Valsad,3
Tinsukia,1
Buxar,1
Tumkur,2
Chittoor,4
Chitradurga,2
Ujjain,1
Solan,1
Kheda,1
Mumbai,89
Guntur,3
Medak,3
Kottayam,1
Nagpur,8
Haveri,1
Satara,2
Moradabad,1
Aurangabad,10
Agra,3
Hyderabad,26
Chandigarh,2
Mathura,1
Coimbatore,12
Patna,2
Rae Bareli,1
Panchmahal,1
Vishakhapatnam,6
Krishnagiri,3
Delhi,10
Thiruvananthapuram,2
Nalgonda,7
Alappuzha,1
Ahmedabad,34
Udupi,1
Sehore,1
Singrauli,1
Gurgaon,24
Kathua,1
Gandhinagar,2
Kurnool,2
Dindigul,1
Krishna,1
Lucknow,2
Amreli,1
Haridwar,5
Jaipur,13
Pathanamthitta,1
Ratnagiri,2
Karur,2
North Goa,1
Ranga Reddy,1