PPNAME,POLNAME,CIN,COMPNAME
Progressive Democratic Front,Sharad Pawar,U72200PN1997PLC112531,ABHIJIT PAWAR MEDIA LIMITED
Progressive Democratic Front,Sharad Pawar,U63033PN1995PTC085824,INTERNATIONAL CONVENTIONS INDIA PRIVATE LIMITED
Progressive Democratic Front,Sharad Pawar,U45202PN2008PTC131391,BHIMTHADI DEVELOPERS & MINERS PRIVATE LIMITED
Progressive Democratic Front,Sharad Pawar,U28999MH1969PTC014265,OJAS ENGINEERING PVT LTD
Progressive Democratic Front,Sharad Pawar,U24231MH1973PTC016721,ASK CHEMICALS INDIA PRIVATE LIMITED
Progressive Democratic Front,Sharad Pawar,U22121PN1948PTC006177,SAKAL PAPERS PRIVATE LIMITED
Progressive Democratic Front,Sharad Pawar,U01122PN2007PTC131132,RAJGADH AGRO FARMS PRIVATE LIMITED
Progressive Democratic Front,Sharad Pawar,U01122PN2007PTC131131,PASLE AGRO FARMS PRIVATE LIMITED
Progressive Democratic Front,Sharad Pawar,L34102PN1958PLC011172,FORCE MOTORS LIMITED
Progressive Democratic Front,Sharad Pawar,L31300MH1967PLC016531,FINOLEX CABLES LIMITED
Progressive Democratic Front,Sharad Pawar,L29120PN2009PLC133351,KIRLOSKAR OIL ENGINES LIMITED
Progressive Democratic Front,Sharad Pawar,L25209PN1961PLC012046,BHARAT FORGE LTD
rashtriya krantikari janata party,Kiran Devi,U51109WB2008PTC123997,COOL TIE-UP PRIVATE LIMITED
Republican Party of India (Athvale),Satya Narayan,L01112UP1989PLC011004,SHRI GANG INDUSTRIES AND ALLIED PRODUCTS LIMITED
Republican Party of India (Athvale),Kalpana Singh,U45201RJ2007PTC024996,GRASS FIELD ESTATE DEVELOPERS PRIVATE LIMITED
Samajwadi Party,R.R. Patil,U52100WB2010PTC148414,SANKLAP VINTARDE PRIVATE LIMITED
Samajwadi Party,R.R. Patil,U52100WB2010PTC148410,MUDRA DEALTRADE PRIVATE LIMITED
Samajwadi Party,R.R. Patil,L67120WB1980PLC032932,WORTH INVESTMENT & TRADING CO LTD
Sarva Janata Party,thimme gowda,U32301DL1981PLC011202,OSCAR INTERNATIONAL LIMITED
Sarva Janata Party,thimme gowda,U64204DL2007PTC172052,ASV ELECTRONICS PRIVATE LIMITED
Sarva Janata Party,thimme gowda,U51109WB1985PLC038544,SENAO INTERNATIONAL LTD
Sarva Janata Party,thimme gowda,U74899DL1983PTC015276,KANIKA AUDIO VISUALS PRIVATE LIMITED
Sarva Janata Party,thimme gowda,U72200DL2005PTC135061,OSCAR IT INFRASTRUCTURE PRIVATE LIMITED
Sarva Janata Party,thimme gowda,U67120WB1982PLC034852,AKANKSHA VINIYOG LTD
Sarva Janata Party,thimme gowda,U74899DL1995PTC070579,OMEGA FUTURISTIC PRIVATE LIMITED
Sarva Janata Party,thimme gowda,U74899DL1983PTC015275,RELIANCE ELECTRONIC INDUSTRIES (INDIA) LIMITED
Sarva Janata Party,thimme gowda,U72200DL2000PTC106867,BRIGHT COMPTECH PRIVATE LIMITED
Sarva Janata Party,thimme gowda,U32101DL1986PLC025334,OSCAR TECHNOLOGIES LIMITED
Sarva Janata Party,thimme gowda,L51909DL1990PLC041701,OSCAR GLOBAL LIMITED.
Shiv Sena,navneet,U91990DL1901PLC000098,ROSHANARA CLUB LIMITED
Shiv Sena,navneet,U91990DL1901PLC000098,ROSHANARA CLUB LIMITED
Shiv Sena,navneet,U91990DL1901PLC000098,ROSHANARA CLUB LIMITED
Telugu Desam,N.Chandrababu Naidu,U85191TG2012PTC080455,ASVAS HEALTHCARE PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U67120TG2008PTC060105,NIRVANA HOLDINGS PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U65993TG1995PTC019355,MEGABID FINANCE & INVESTMENT PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U60200TG2008PTC060891,NIRVANA LOGISTICS AND WAREHOUSING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U60231TG2008PTC061154,REDHILLS LOGISTICS AND WAREHOUSING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U52100TG2011PLC072132,HERITAGE CONPRO LIMITED
Telugu Desam,N.Chandrababu Naidu,U45200TG2008PTC061079,NIRVANA ESTATES PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U40109TG2008PTC060690,NIRVANA POWER PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U40108TG2008PTC061078,NIRVANA ENERGY PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U25202TG2009PTC065328,NIRVANA PACKAGING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U22130TG2011PTC073349,NIRVANA MEDIA PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U15400TG2008PLC062054,HERITAGE FOODS RETAIL LIMITED
Telugu Desam,N.Chandrababu Naidu,U05005TG1994PTC018070,HERITAGE AGRO MARINE PVT LTD
Telugu Desam,N.Chandrababu Naidu,L15209TG1992PLC014332,HERITAGE FOODS LIMITED
Telugu Desam,N.Chandrababu Naidu,U67120TG2008PTC060105,NIRVANA HOLDINGS PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U65910TG1996PLC023310,HERITAGE FINLEASE LIMITED
Telugu Desam,N.Chandrababu Naidu,U65993TG1995PTC019355,MEGABID FINANCE & INVESTMENT PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U60200TG2008PTC060891,NIRVANA LOGISTICS AND WAREHOUSING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U60231TG2008PTC061154,REDHILLS LOGISTICS AND WAREHOUSING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U52100TG2011PLC072132,HERITAGE CONPRO LIMITED
Telugu Desam,N.Chandrababu Naidu,U45200TG2008PTC061079,NIRVANA ESTATES PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U40109TG2008PTC060690,NIRVANA POWER PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U40108TG2008PTC061078,NIRVANA ENERGY PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U25202TG2009PTC065328,NIRVANA PACKAGING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U22130TG2011PTC073349,NIRVANA MEDIA PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U15400TG2008PLC062054,HERITAGE FOODS RETAIL LIMITED
Telugu Desam,N.Chandrababu Naidu,U05005TG1994PTC018070,HERITAGE AGRO MARINE PVT LTD
Telugu Desam,N.Chandrababu Naidu,L15209TG1992PLC014332,HERITAGE FOODS LIMITED
Telugu Desam,N.Chandrababu Naidu,U85191TG2012PTC080455,ASVAS HEALTHCARE PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U67120TG2008PTC060105,NIRVANA HOLDINGS PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U65993TG1995PTC019355,MEGABID FINANCE & INVESTMENT PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U60200TG2008PTC060891,NIRVANA LOGISTICS AND WAREHOUSING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U60231TG2008PTC061154,REDHILLS LOGISTICS AND WAREHOUSING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U52100TG2011PLC072132,HERITAGE CONPRO LIMITED
Telugu Desam,N.Chandrababu Naidu,U45200TG2008PTC061079,NIRVANA ESTATES PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U40109TG2008PTC060690,NIRVANA POWER PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U40108TG2008PTC061078,NIRVANA ENERGY PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U25202TG2009PTC065328,NIRVANA PACKAGING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U22130TG2011PTC073349,NIRVANA MEDIA PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U15400TG2008PLC062054,HERITAGE FOODS RETAIL LIMITED
Telugu Desam,N.Chandrababu Naidu,U05005TG1994PTC018070,HERITAGE AGRO MARINE PVT LTD
Telugu Desam,N.Chandrababu Naidu,L15209TG1992PLC014332,HERITAGE FOODS LIMITED
Telugu Desam,N.Chandrababu Naidu,U67120TG2008PTC060105,NIRVANA HOLDINGS PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U65910TG1996PLC023310,HERITAGE FINLEASE LIMITED
Telugu Desam,N.Chandrababu Naidu,U65993TG1995PTC019355,MEGABID FINANCE & INVESTMENT PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U60200TG2008PTC060891,NIRVANA LOGISTICS AND WAREHOUSING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U60231TG2008PTC061154,REDHILLS LOGISTICS AND WAREHOUSING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U52100TG2011PLC072132,HERITAGE CONPRO LIMITED
Telugu Desam,N.Chandrababu Naidu,U45200TG2008PTC061079,NIRVANA ESTATES PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U40109TG2008PTC060690,NIRVANA POWER PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U40108TG2008PTC061078,NIRVANA ENERGY PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U25202TG2009PTC065328,NIRVANA PACKAGING PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U22130TG2011PTC073349,NIRVANA MEDIA PRIVATE LIMITED
Telugu Desam,N.Chandrababu Naidu,U15400TG2008PLC062054,HERITAGE FOODS RETAIL LIMITED
Telugu Desam,N.Chandrababu Naidu,U05005TG1994PTC018070,HERITAGE AGRO MARINE PVT LTD
Telugu Desam,N.Chandrababu Naidu,L15209TG1992PLC014332,HERITAGE FOODS LIMITED
Telugu Desam,GALLA JAYADEV,U15122AP1990PLC011932,MANGAL INDUSTRIES LIMITED
Telugu Desam,GALLA JAYADEV,U85110AP2013PTC086624,G2 HEALTHCARE PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,U93000AP2009PTC064031,AMARA RAJA INDUSTRIAL SERVICES PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,U74990AP2008PTC057464,AMARON BATTERIES PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,U65993AP2010PTC066519,RNGALLA FAMILY HOLDINGS PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,U40102AP2008PTC059398,AMARA RAJA INFRA PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,U31102AP1984PLC005165,AMARA RAJA POWER SYSTEMS LIMITED
Telugu Desam,GALLA JAYADEV,U31402AP1999PLC032257,AMARA RAJA ELECTRONICS LIMITED
Telugu Desam,GALLA JAYADEV,U24111TG1988PLC009231,ANDHRA PRADESH GAS POWER CORPORATION LIMITED
Telugu Desam,GALLA JAYADEV,U15122AP1990PLC011932,MANGAL INDUSTRIES LIMITED
Telugu Desam,GALLA JAYADEV,U15134AP2004PLC042852,GALLA FOODS LIMITED
Telugu Desam,GALLA JAYADEV,L31402AP1985PLC005305,AMARA RAJA BATTERIES LIMITED
Yuvajana Sramika Rythu Congress Party,y.s vijayamma,L24231AP1995PLC019106,SOURCE NATURAL FOODS AND HERBAL SUPPLEMENTS LIMITED
Aam Aadmi Party,MEERA HIRANANDANI SANYAL,U80904MH2010NPL211244,LIBERALSINDIA FOR GOOD GOVERNANCE
ABHM,Balakrishnan. N,U73100PN2007NPL129455,ENTREPRENEURSHIP DEVELOPMENT CENTER
All India Anna Dravida Munnetra Kazhagam,Santhanam. A,U91100MH2013NPL244942,CONFEDERATION OF ATM INDUSTRY
All India Anna Dravida Munnetra Kazhagam,O.Panneerselvam,U73100PN2007NPL129455,ENTREPRENEURSHIP DEVELOPMENT CENTER
All India Anna Dravida Munnetra Kazhagam,O.Panneerselvam,U73100PN2007NPL129455,ENTREPRENEURSHIP DEVELOPMENT CENTER
All India Anna Dravida Munnetra Kazhagam,R.Gopalakrishnan,U99999MH1917PLC000478,TATA SONS LIMITED
All India Trinamool Congress,Sudip Bandyopadhyay,U67120MH2005PTC156678,DESTIMONEY SECURITIES PRIVATE LIMITED
All India Trinamool Congress,Vivek Gupta,U22121WB1945PTC012848,SANMARG PVT LTD
All India Trinamool Congress,Kunal Kumar Ghosh,U74130WB2010PTC153555,JAGO BANGLA MEDIA PRIVATE LIMITED
All India Trinamool Congress,Sudip Bandyopadhyay,U67120MH2005PTC156678,DESTIMONEY SECURITIES PRIVATE LIMITED
All India Trinamool Congress,Subrata Bakshi,U45203WB2012SGC180687,WEST BENGAL HIGHWAY DEVELOPMENT CORPORATION LIMITED
All India Trinamool Congress,Subrata Bakshi,U74130WB2010PTC153555,JAGO BANGLA MEDIA PRIVATE LIMITED
Bharatiya Janta Party,dr. chandan mitra,U93000DL2011PTC227173,PIONEER DIGITAL NEWS PRIVATE LIMITED
Bharatiya Janta Party,dr. chandan mitra,U92111DL2003PTC123193,PIONEER PERIODICALS PRIVATE LIMITED
Bharatiya Janta Party,dr. chandan mitra,U67120DL2011PTC216714,SANCHAR HOLDINGS PRIVATE LIMITED
Bharatiya Janta Party,dr. chandan mitra,U92111WB1994PLC065621,RAINBOW PRODUCTIONS LTD
Bharatiya Janta Party,dr. chandan mitra,U74899DL1997PLC087473,CMYK PRINTECH LIMITED
Bharatiya Janta Party,dr. chandan mitra,L22354MP1992PLC007295,RELIABLE VENTURES INDIA LIMITED
Bharatiya Janta Party,Dhotre Sanjay Shyamrao,U01200MH1976SGC018990,MAHARASHTRA STATE SEEDS CORPORATION LIMITED
Bharatiya Janta Party,Rattan Lal Kataria,U35912HR2001PTC034649,HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD
Bharatiya Janta Party,Pralhad Joshi,U24246KA2004PTC035182,INNO-NU CHEM PRIVATE LIMITED
Bharatiya Janta Party,Vijay Goel,U91110UP1945NPL001322,THE WESTERN U.P. CHAMBER OF COMMERCE AND INDUSTRY
Bharatiya Janta Party,Vijay Goel,U79140UP1986NPL007846,FEDERATION OF U P CHAMBERS OF COMM.AND INDUSTRY
Bharatiya Janta Party,Dr. Sanjay Jaiswal,U45200DL2006PTC154274,AROHI BUILDCON PRIVATE LIMITED
Bharatiya Janta Party,Feroze Varun Gandhi,U74899DL1970PTC005453,RAJDHANI GENERAL TRADERS PRIVATE LIMITED
Bharatiya Janta Party,Dhotre Sanjay Shyamrao,U01200MH1976SGC018990,MAHARASHTRA STATE SEEDS CORPORATION LIMITED
Bharatiya Janta Party,Rattan Lal Kataria,U35912HR2001PTC034649,HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD
Bharatiya Janta Party,Maneka Sanjay Gandhi,U74899DL1994NPL061260,RUGMARK FOUNDATION
Bharatiya Janta Party,Maneka Sanjay Gandhi,U74899DL1976PTC008249,AMTEJ INTERNATIONAL PVT LTD
Bharatiya Janta Party,Maneka Sanjay Gandhi,U74899DL1970PTC005453,RAJDHANI GENERAL TRADERS PRIVATE LIMITED
Bharatiya Janta Party,Shivraj Singh Chouhan,U75100MP2015SGC034434,MADHYA PRADESH METRO RAIL CO LIMITED
Bharatiya Janta Party,Shivraj Singh Chouhan,U45203MP2004SGC016758,MADHYA PRADESH ROAD DEVELOPMENT CORPORATION LIMITED
Bharatiya Janta Party,Shivraj Singh Chouhan,U40300MP2011SGC027025,NARMADA BASIN PROJECTS COMPANY LIMITED
Bharatiya Janta Party,Shivraj Singh Chouhan,U41000MP2012SGC028798,MADHYA PRADESH JAL NIGAM MARYADIT
Bharatiya Janta Party,Shyama Charan Gupta,U65921UP1985PLC007603,SBW UDYOG LIMITED
Bharatiya Janta Party,Shyama Charan Gupta,U55204UP2016PTC077366,SBW HOTEL UDYOG PRIVATE LIMITED
Bharatiya Janta Party,Shyama Charan Gupta,L67120WB1975PLC030153,NEW MOUNT TRADING & INVESTMENT CO LTD
Bharatiya Janta Party,Pralhad Joshi,U24246KA2004PTC035182,INNO-NU CHEM PRIVATE LIMITED
Bharatiya Janta Party,Rattan Lal Kataria,U35912HR2001PTC034649,HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD
Bharatiya Janta Party,Dhotre Sanjay Shyamrao,U01200MH1976SGC018990,MAHARASHTRA STATE SEEDS CORPORATION LIMITED
Bharatiya Janta Party,Vijay Sampla,U40105PB1983SGC034715,PUNJAB STATE FOREST DEVELOPMENT CORPORATION LIMITED
Bharatiya Janta Party,Vijay Sampla,U02001PB1983SGC034715,PUNJAB STATE FOREST DEVELOPMENT CORPORATION LIMITED
Bharatiya Janta Party,Vijay Goel,U91110UP1945NPL001322,THE WESTERN U.P. CHAMBER OF COMMERCE AND INDUSTRY
Bharatiya Janta Party,Vijay Goel,U79140UP1986NPL007846,FEDERATION OF U P CHAMBERS OF COMM.AND INDUSTRY
Bharatiya Janta Party,Sukhbir Singh Jaunapuria,U74899HR1995PTC049174,MA-GANGA BUILDERS AND CONSTRUCTIONS PRIVATE LIMITED
Bharatiya Janta Party,Sukhbir Singh Jaunapuria,U74899HR1994PTC048834,SUKH REALTERS PRIVATE LIMITED
Bharatiya Janta Party,Sukhbir Singh Jaunapuria,U74140DL2003PTC119514,PERFECTION POINT CONSULTANCY PRIVATE LIMITED
Bharatiya Janta Party,Sukhbir Singh Jaunapuria,U70200HR2010PTC049040,BELISMA BUILDCON PRIVATE LIMITED
Bharatiya Janta Party,Maneka Sanjay Gandhi,U74899DL1994NPL061260,RUGMARK FOUNDATION
Bharatiya Janta Party,Maneka Sanjay Gandhi,U74899DL1976PTC008249,AMTEJ INTERNATIONAL PVT LTD
Bharatiya Janta Party,Maneka Sanjay Gandhi,U74899DL1970PTC005453,RAJDHANI GENERAL TRADERS PRIVATE LIMITED
Bharatiya Janta Party,Manohar Parrikar,U91200KL1924NPL000660,MUNDAKAYAM PLANTERS ASSOCIATION
Bharatiya Janta Party,Prabhakar Kore,L60210KA1983PLC005247,VRL LOGISTICS LIMITED
Bharatiya Janta Party,Prabhakar Kore,U15421KA1995PLC017655,SHIVASHAKTI SUGARS LIMITED
Bharatiya Janta Party,Munde Pritam,U63090MH2012PTC238465,ISHANA FREIGHT AND LOGISTICS PRIVATE LIMITED
Bharatiya Janta Party,Munde Pritam,U01100MH2004PTC145576,NHAVA SHEVA CFS AND AGRI PARK PRIVATE LIMITED
Bharatiya Janta Party,AJAY KUMAR SANCHETI,U74140DL2004PLC125552,MINDA MANAGEMENT SERVICES LIMITED
Bharatiya Janta Party,AJAY KUMAR SANCHETI,U27310DL2007PTC167948,NTS TOOLING INDIA PRIVATE LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U65192BR2015PLC025551,ADI CHITRAGUPTA FINANCE LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U80903BR2007PTC013080,VOCATIONAL SKILLS COUNCIL INDIA PRIVATE LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U90001BR2009PLC014332,SERVICE MASTER CLEAN LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U85190BR2008PTC013816,KAYA KALP DRUGLESS HEALING PRIVATE LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U93000BR2011PTC017532,TERMINIX SIS INDIA PRIVATE LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U74910BR2014PTC022583,SIS PROSEGUR HOLDINGS PRIVATE LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U74920BR2007PLC013081,SECURITY SKILLS COUNCIL (INDIA) LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U74900BR2011PLC021067,SAKSHAM BHARAT SKILLS LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U75300BR2010PLC015484,TECH SIS LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U75230BR1985PLC002083,SECURITY AND INTELLIGENCE SERVICES (INDIA) LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U74140BR2011PTC017533,SIS CASH SERVICES PRIVATE LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U70102BR2014PLC022639,SIS GROUP ENTERPRISES LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U67100GJ2011NPL064274,SWAYAM MICRO SERVICES
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U45201BR1992PLC004862,RITU RAJ RESORTS LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U15202BR2011PTC017076,JOOST FOOD VENTURES PRIVATE LIMITED
Bharatiya Janta Party,RAVINDRA KISHORE SINHA,U00093BR2000PLC009353,MAHA MANAV MRITUNJAY INSTITUTE OF YOGA AND ALTERNATI VE MEDICINE LIMITED
Bharatiya Janta Party,Feroze Varun Gandhi,U74899DL1970PTC005453,RAJDHANI GENERAL TRADERS PRIVATE LIMITED
Bharatiya Janta Party,Shivraj Singh Chouhan,U75100MP2015SGC034434,MADHYA PRADESH METRO RAIL CO LIMITED
Bharatiya Janta Party,Shivraj Singh Chouhan,U45203MP2004SGC016758,MADHYA PRADESH ROAD DEVELOPMENT CORPORATION LIMITED
Bharatiya Janta Party,Shivraj Singh Chouhan,U40300MP2011SGC027025,NARMADA BASIN PROJECTS COMPANY LIMITED
Bharatiya Janta Party,Shivraj Singh Chouhan,U41000MP2012SGC028798,MADHYA PRADESH JAL NIGAM MARYADIT
Bharatiya Janta Party,Devendra Fadnavis,U45203MH2002SGC136979,MAHARASHTRA AIRPORT DEVELOPMENT COMPANY LIMITED
Bharatiya Janta Party,Raman Singh,U45203CT2014SGC001560,CHHATTISGARH ROAD DEVELOPMENT CORPORATION LIMITED
Bharatiya Janta Party,Manohar Parrikar,U91200KL1924NPL000660,MUNDAKAYAM PLANTERS ASSOCIATION
Bharatiya Janta Party,Manohar Parrikar,U91200KL1924NPL000660,MUNDAKAYAM PLANTERS ASSOCIATION
Biju Janata Dal,Pinaki Misra,L55101DL1980PLC011037,ASIAN HOTELS (NORTH) LIMITED
Biju Janata Dal,Pinaki Misra,U74899DL1994PTC062002,OCEAN GRAND RESORTS AND HOTELS PRIVATE LIMITED
Biju Janata Dal,Pinaki Misra,U74899DL1984PTC018433,JANPATH PROPERTIES PRIVATE LIMITED
Biju Janata Dal,Pinaki Misra,L45201OR1955PLC008400,FERRO ALLOYS CORPORATION LIMITED
Biju Janata Dal,Pinaki Misra,U72200MH2000PTC128600,BRADY TELESOFT PRIVATE LIMITED
Biju Janata Dal,Pinaki Misra,U74899DL1986PTC024501,WHITE LILY ESTATES PRIVATE LTD.
Biju Janata Dal,Pinaki Misra,U74899DL1985PTC020165,JUPITER ESTATES PRIVATE LIMITED
Biju Janata Dal,Pinaki Misra,L17110MH1913PLC000367,W H BRADY AND COMPANY LIMITED
Communist Party of India (MARXIST),"natarajan, p.r.",U91100MH2013NPL244942,CONFEDERATION OF ATM INDUSTRY
Communist Party of India (MARXIST),"natarajan, p.r.",U91100MH2013NPL244942,CONFEDERATION OF ATM INDUSTRY
