,Constituency,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned
0,ADILABAD,TELANGANA,ST,16.4,0.0,0,1,0,1,0,150000000,0,0
1,AGRA,UTTAR PRADESH,SC,28.1,1.0,1,0,0,0,0,1090000000,1,0
2,AHMEDABAD EAST,GUJARAT,GEN,33.1,0.0,1,1,0,0,0,90030000000,1,0
3,AHMEDABAD WEST,GUJARAT,SC,33.2,0.0,1,1,0,0,0,88400000000,1,0
4,AHMEDNAGAR,MAHARASHTRA,GEN,19.7,0.0,1,1,0,0,0,1370000000,1,0
5,AJMER,RAJASTHAN,GEN,14.9,1.0,1,1,0,0,1,45260000000,1,0
6,AKBARPUR,UTTAR PRADESH,GEN,28.7,0.0,1,0,0,0,0,4440000000,1,0
7,AKOLA,MAHARASHTRA,GEN,20.8,0.0,1,1,0,0,0,80000000,1,0
8,ALAPPUZHA,KERALA,GEN,1.9,0.0,0,1,0,0,0,3480000000,1,0
9,ALATHUR,KERALA,SC,4.0,0.0,0,0,0,0,0,6860000000,1,1
10,ALIGARH,UTTAR PRADESH,GEN,26.9,0.0,1,0,0,0,0,800000000,1,0
11,ALIPURDUARS,WEST BENGAL,ST,1.7,0.0,0,1,0,0,0,950000000,1,0
12,ALLAHABAD,UTTAR PRADESH,GEN,7.0,0.0,1,0,0,0,0,630000000,1,0
13,ALMORA,UTTARAKHAND,SC,14.6,0.0,1,0,0,0,0,200000000,1,0
14,ALWAR,RAJASTHAN,GEN,26.7,0.0,1,1,0,0,0,9160000000,1,0
15,AMALAPURAM,ANDHRA PRADESH,SC,10.8,0.0,1,1,0,0,0,2350000000,1,0
16,AMBALA,HARYANA,SC,27.9,0.0,1,1,0,0,0,2030000000,1,0
17,AMBEDKAR NAGAR,UTTAR PRADESH,GEN,13.5,0.0,1,0,0,0,0,1840000000,1,0
18,AMETHI,UTTAR PRADESH,GEN,12.3,0.0,0,0,0,0,0,5060000000,1,1
19,AMRAVATI,MAHARASHTRA,SC,13.7,0.0,1,1,0,0,0,1300000000,1,0
20,AMRELI,GUJARAT,GEN,19.3,0.0,1,1,0,0,0,2990000000,1,0
21,AMRITSAR,PUNJAB,GEN,10.2,0.0,0,0,0,0,0,1320000000,1,1
22,AMROHA,UTTAR PRADESH,GEN,14.4,0.0,1,0,1,0,0,840000000,1,0
23,ANAKAPALLE,ANDHRA PRADESH,GEN,4.2,0.0,1,1,0,1,0,30420000000,0,0
24,ANAND,GUJARAT,GEN,6.5,0.0,1,1,1,0,1,3070000000,1,0
25,ANANDPUR SAHIB,PUNJAB,GEN,2.2,0.0,1,1,0,0,0,3300000000,1,0
26,ANANTAPUR,ANDHRA PRADESH,GEN,5.1,0.0,1,1,0,0,0,19390000000,1,0
27,ANANTNAG,JAMMU AND KASHMIR,GEN,17.4,0.0,0,0,0,0,0,1030000000,1,1
28,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR,GEN,4.1,0.0,1,0,0,0,0,0,1,0
29,AONLA,UTTAR PRADESH,GEN,13.9,0.0,1,0,0,0,0,250000000,1,0
30,ARAKKONAM,TAMIL NADU,GEN,22.1,0.0,0,1,0,0,0,216100000000,1,0
31,ARAKU,ANDHRA PRADESH,ST,10.0,0.0,0,0,0,1,0,38740000000,0,1
32,ARAMBAG,WEST BENGAL,SC,25.5,0.0,0,1,0,0,0,760000000,1,0
33,ARANI,TAMIL NADU,GEN,22.2,0.0,0,1,0,0,0,350000000,1,0
34,ARARIA,BIHAR,GEN,15.0,0.0,0,0,0,1,0,0,0,1
35,ARRAH,BIHAR,GEN,15.2,0.0,1,1,0,0,0,0,1,0
36,ARUNACHAL EAST,ARUNACHAL PRADESH,GEN,4.8,0.0,0,0,0,1,0,80000000,0,1
37,ARUNACHAL WEST,ARUNACHAL PRADESH,GEN,12.4,1.0,1,1,0,0,0,780000000,1,0
38,ASANSOL,WEST BENGAL,GEN,6.2,1.0,1,0,0,0,0,0,1,0
39,ASKA,ODISHA,GEN,34.8,0.0,0,1,0,0,0,600000000,1,0
40,ATTINGAL,KERALA,GEN,8.1,0.0,0,0,0,0,0,2640000000,1,1
41,AURANGABAD,BIHAR,GEN,8.4,0.0,1,1,0,1,0,710000000,0,0
42,AURANGABAD,MAHARASHTRA,GEN,16.5,0.0,1,1,0,0,0,24350000000,1,0
43,AUTONOMOUS DISTRICT,ASSAM,ST,4.4,0.0,0,1,0,0,0,0,1,0
44,AZAMGARH,UTTAR PRADESH,GEN,6.6,0.0,0,1,0,0,0,0,1,0
45,BADAUN,UTTAR PRADESH,GEN,16.2,0.0,0,1,0,0,0,50000000,1,0
46,BAGALKOT,KARNATAKA,GEN,10.8,0.0,1,0,0,1,0,490000000,0,0
47,BAGHPAT,UTTAR PRADESH,GEN,20.9,0.0,1,0,0,0,0,1450000000,1,0
48,BAHARAMPUR,WEST BENGAL,GEN,30.9,0.0,0,0,0,1,0,470000000,0,1
49,BAHRAICH,UTTAR PRADESH,SC,10.2,0.0,1,0,0,1,0,0,0,0
50,BALAGHAT,MADHYA PRADESH,GEN,8.6,0.0,1,1,0,0,0,2780000000,1,0
51,BALASORE,ODISHA,GEN,13.5,0.0,0,1,0,0,0,1420000000,1,0
52,BALLIA,UTTAR PRADESH,GEN,14.8,0.0,1,0,0,0,0,400000000,1,0
53,BALURGHAT,WEST BENGAL,GEN,10.1,0.0,0,1,0,1,0,0,0,0
54,BANASKANTHA,GUJARAT,GEN,22.8,1.0,1,1,0,0,1,1000000000,1,0
55,BANDA,UTTAR PRADESH,GEN,13.5,0.0,1,0,0,1,0,0,0,0
56,BANGALORE CENTRAL,KARNATAKA,GEN,12.8,0.0,1,0,1,0,1,75230000000,1,0
57,BANGALORE NORTH,KARNATAKA,GEN,16.9,1.0,1,0,1,0,1,75230000000,1,0
58,BANGALORE RURAL,KARNATAKA,GEN,15.9,0.0,0,1,1,0,1,124440000000,1,0
59,BANGALORE SOUTH,KARNATAKA,GEN,20.5,1.0,1,0,1,0,1,75230000000,1,0
60,BANGAON,WEST BENGAL,SC,11.4,0.0,0,1,0,1,0,1910000000,0,0
61,BANKA,BIHAR,GEN,1.1,0.0,0,0,0,1,0,90000000,0,1
62,BANKURA,WEST BENGAL,GEN,8.0,0.0,0,1,0,0,0,4040000000,1,0
63,BANSGAON,UTTAR PRADESH,SC,21.6,0.0,1,0,0,0,0,700000000,1,0
64,BANSWARA,RAJASTHAN,ST,7.8,0.0,1,1,0,0,0,210000000,1,0
65,BAPATLA,ANDHRA PRADESH,SC,2.8,0.0,1,1,0,0,0,6080000000,1,0
66,BARABANKI,UTTAR PRADESH,SC,19.8,0.0,1,0,0,0,0,340000000,1,0
67,BARAMATI,MAHARASHTRA,GEN,6.5,0.0,0,0,0,0,0,176290000000,1,1
68,BARAMULLA,JAMMU AND KASHMIR,GEN,6.3,0.0,0,0,0,1,0,0,0,1
69,BARASAT,WEST BENGAL,GEN,13.6,0.0,0,1,0,0,0,240000000,1,0
70,BARDHAMAN PURBA,WEST BENGAL,SC,8.7,0.0,0,1,0,0,0,0,1,0
71,BARDHAMAN-DURGAPUR,WEST BENGAL,GEN,8.1,0.0,0,1,0,0,0,0,1,0
72,BARDOLI,GUJARAT,ST,10.3,0.0,1,1,0,0,0,22600000000,1,0
73,BAREILLY,UTTAR PRADESH,GEN,23.6,1.0,1,0,0,0,0,250000000,1,0
74,BARGARH,ODISHA,GEN,1.0,0.0,0,1,0,0,0,1550000000,1,0
75,BARMER,RAJASTHAN,GEN,7.2,0.0,1,1,0,1,0,12360000000,0,0
76,BARPETA,ASSAM,GEN,3.5,0.0,0,0,0,1,0,190000000,0,1
77,BARRACKPUR,WEST BENGAL,GEN,19.7,0.0,0,1,0,0,0,240000000,1,0
78,BASIRHAT,WEST BENGAL,GEN,8.6,0.0,0,1,0,0,0,240000000,1,0
79,BASTAR,CHHATTISGARH,ST,16.2,0.0,1,1,0,1,0,360000000,0,0
80,BASTI,UTTAR PRADESH,GEN,3.2,0.0,1,0,0,0,0,0,1,0
81,BATHINDA,PUNJAB,GEN,1.6,1.0,1,1,0,0,0,2600000000,1,0
82,BEED,MAHARASHTRA,GEN,11.1,0.0,1,1,0,0,0,0,1,0
83,BEGUSARAI,BIHAR,GEN,5.4,0.0,1,1,0,1,0,100000000,0,0
84,BELGAUM,KARNATAKA,GEN,7.0,0.0,1,0,0,0,0,380000000,1,0
85,BELLARY,KARNATAKA,ST,8.1,0.0,1,0,0,0,0,2010000000,1,0
86,BERHAMPUR,ODISHA,GEN,14.1,0.0,0,1,0,1,0,600000000,0,0
87,BETUL,MADHYA PRADESH,ST,31.4,0.0,1,1,0,1,0,4090000000,0,0
88,BHADOHI,UTTAR PRADESH,GEN,16.1,0.0,1,0,0,0,0,630000000,1,0
89,BHADRAK,ODISHA,SC,16.6,0.0,0,1,0,0,0,1020000000,1,0
90,BHAGALPUR,BIHAR,GEN,1.0,0.0,0,0,0,0,0,0,1,1
91,BHANDARA-GONDIYA,MAHARASHTRA,GEN,12.5,0.0,1,1,0,0,0,530000000,1,0
92,BHARATPUR,RAJASTHAN,SC,25.5,0.0,1,1,0,0,0,9680000000,1,0
93,BHARUCH,GUJARAT,GEN,14.5,1.0,1,1,0,1,0,19830000000,0,0
94,BHAVNAGAR,GUJARAT,GEN,32.2,0.0,1,1,0,0,0,2070000000,1,0
95,BHILWARA,RAJASTHAN,GEN,22.3,0.0,1,1,0,0,0,8120000000,1,0
96,BHIND,MADHYA PRADESH,SC,21.9,0.0,1,1,0,0,0,9810000000,1,0
97,BHIWANDI,MAHARASHTRA,GEN,12.5,0.0,1,1,0,0,0,18690000000,1,0
98,BHIWANI-MAHENDRAGARH,HARYANA,GEN,12.6,0.0,1,1,0,0,0,1600000000,1,0
99,BHONGIR,TELANGANA,GEN,2.5,0.0,0,1,0,0,0,5600000000,1,0
100,BHOPAL,MADHYA PRADESH,GEN,32.8,0.0,1,1,1,0,0,8820000000,1,0
101,BHUBANESWAR,ODISHA,GEN,21.2,0.0,0,1,0,0,0,850000000,1,0
102,BIDAR,KARNATAKA,GEN,9.6,0.0,1,0,0,1,0,1550000000,0,0
103,BIJAPUR,KARNATAKA,SC,7.2,0.0,1,0,0,0,0,1650000000,1,0
104,BIJNOR,UTTAR PRADESH,GEN,19.4,0.0,1,0,0,0,0,690000000,1,0
105,BIKANER,RAJASTHAN,SC,33.1,0.0,1,1,0,0,0,1220000000,1,0
106,BILASPUR,CHHATTISGARH,GEN,16.2,0.0,1,1,0,0,0,11290000000,1,0
107,BIRBHUM,WEST BENGAL,GEN,5.3,0.0,0,1,0,1,0,110000000,0,0
108,BISHNUPUR,WEST BENGAL,SC,11.8,0.0,0,1,0,0,0,310000000,1,0
109,BOLANGIR,ODISHA,GEN,8.9,0.0,0,1,0,1,0,0,0,0
110,BOLPUR,WEST BENGAL,SC,18.1,0.0,0,1,0,1,0,110000000,0,0
111,BULANDSHAHR,UTTAR PRADESH,SC,41.8,0.0,1,0,0,0,0,910000000,1,0
112,BULDHANA,MAHARASHTRA,GEN,16.3,0.0,1,1,0,0,0,400000000,1,0
113,BUXAR,BIHAR,GEN,14.9,0.0,1,1,0,0,0,0,1,0
114,CHALAKUDY,KERALA,GEN,1.6,0.0,0,0,0,0,0,25450000000,1,1
115,CHAMARAJANAGAR,KARNATAKA,SC,12.5,0.0,0,1,0,0,0,810000000,1,0
116,CHANDAULI,UTTAR PRADESH,GEN,16.0,0.0,1,0,0,1,0,4350000000,0,0
117,CHANDIGARH,CHANDIGARH,GEN,15.4,0.0,1,0,0,0,0,510000000,1,0
118,CHANDNI CHOWK,DELHI,GEN,13.9,1.0,1,0,0,0,0,3260000000,1,0
119,CHANDRAPUR,MAHARASHTRA,GEN,21.3,1.0,1,1,0,0,1,1690000000,1,0
120,CHATRA,JHARKHAND,GEN,25.0,0.0,1,1,0,1,0,0,0,0
121,CHENNAI CENTRAL,TAMIL NADU,GEN,5.6,0.0,0,1,0,0,0,116960000000,1,0
122,CHENNAI NORTH,TAMIL NADU,GEN,11.0,0.0,0,1,0,0,0,117020000000,1,0
123,CHENNAI SOUTH,TAMIL NADU,GEN,12.6,0.0,0,1,0,0,0,117700000000,1,0
124,CHEVELLA,TELANGANA,GEN,5.5,0.0,0,1,0,0,0,3740000000,1,0
125,CHHINDWARA,MADHYA PRADESH,GEN,10.5,0.0,0,0,1,0,0,160000000,1,1
126,CHHOTA UDAIPUR,GUJARAT,ST,16.3,0.0,1,1,0,1,0,9280000000,0,0
127,CHIDAMBARAM,TAMIL NADU,SC,11.8,0.0,0,1,0,0,0,11820000000,1,0
128,CHIKKBALLAPUR,KARNATAKA,GEN,0.8,0.0,0,1,0,0,0,47750000000,1,0
129,CHIKKODI,KARNATAKA,GEN,0.3,0.0,0,1,0,0,0,380000000,1,0
130,CHITRADURGA,KARNATAKA,SC,9.2,0.0,0,1,0,0,0,2110000000,1,0
131,CHITTOOR,ANDHRA PRADESH,SC,3.7,0.0,1,1,0,0,0,7470000000,1,0
132,CHITTORGARH,RAJASTHAN,GEN,27.0,0.0,1,1,0,0,0,8470000000,1,0
133,CHURU,RAJASTHAN,GEN,26.1,0.0,1,1,0,0,0,200000000,1,0
134,COIMBATORE,TAMIL NADU,GEN,3.6,0.0,0,1,0,0,0,16560000000,1,0
135,COOCHBEHAR,WEST BENGAL,SC,6.5,0.0,0,1,0,0,0,0,1,0
136,CUDDALORE,TAMIL NADU,GEN,20.6,0.0,0,1,0,0,0,11790000000,1,0
137,CUTTACK,ODISHA,GEN,31.3,0.0,0,1,0,0,0,3400000000,1,0
138,DADRA & NAGAR HAVELI,DADRA AND NAGAR HAVELI,GEN,3.8,0.0,1,0,0,0,0,0,1,0
139,DAHOD,GUJARAT,ST,25.6,0.0,1,1,0,0,0,30000000,1,0
140,DAKSHINA KANNADA,KARNATAKA,GEN,11.9,0.0,1,0,0,0,0,340000000,1,0
141,DAMAN & DIU,DAMAN AND DIU,GEN,10.6,0.0,1,0,0,0,0,0,1,0
142,DAMOH,MADHYA PRADESH,GEN,23.4,0.0,1,1,0,1,0,750000000,0,0
143,DARBHANGA,BIHAR,GEN,4.2,0.0,1,1,0,0,0,0,1,0
144,DARJEELING,WEST BENGAL,GEN,17.3,0.0,1,0,0,0,0,1440000000,1,0
145,DAUSA,RAJASTHAN,ST,4.9,0.0,1,1,0,0,0,23580000000,1,0
146,DAVANAGERE,KARNATAKA,GEN,1.6,1.0,1,0,0,0,0,0,1,0
147,DEORIA,UTTAR PRADESH,GEN,27.3,1.0,1,0,0,0,0,0,1,0
148,DEWAS,MADHYA PRADESH,SC,22.8,0.0,1,1,0,0,0,7480000000,1,0
149,DHANBAD,JHARKHAND,GEN,25.6,0.0,1,1,0,1,0,2280000000,0,0
150,DHAR,MADHYA PRADESH,ST,9.7,0.0,1,1,0,0,0,3940000000,1,0
151,DHARMAPURI,TAMIL NADU,GEN,7.0,0.0,1,0,0,0,0,2130000000,1,0
152,DHARWAD,KARNATAKA,GEN,10.9,0.0,1,0,0,0,0,540000000,1,0
153,DHAURAHRA,UTTAR PRADESH,GEN,11.9,0.0,1,0,0,0,0,630000000,1,0
154,DHENKANAL,ODISHA,GEN,13.2,0.0,0,1,0,1,0,26500000000,0,0
155,DHUBRI,ASSAM,GEN,16.8,0.0,0,0,0,1,0,0,0,1
156,DHULE,MAHARASHTRA,GEN,13.3,0.0,1,1,0,0,0,12500000000,1,0
157,DIAMOND HARBOUR,WEST BENGAL,GEN,5.7,0.0,0,1,0,0,0,1090000000,1,0
158,DIBRUGARH,ASSAM,GEN,20.8,0.0,1,0,0,0,0,4800000000,1,0
159,DINDIGUL,TAMIL NADU,GEN,11.8,0.0,0,1,0,0,0,1390000000,1,0
160,DINDORI,MAHARASHTRA,ST,25.5,0.0,1,1,0,0,0,11470000000,1,0
161,DOMARIYAGANJ,UTTAR PRADESH,GEN,11.1,0.0,1,0,0,1,0,0,0,0
162,DUM DUM,WEST BENGAL,GEN,13.7,0.0,0,1,0,0,0,240000000,1,0
163,DUMKA,JHARKHAND,ST,4.3,0.0,0,0,0,1,0,0,0,1
164,DURG,CHHATTISGARH,GEN,1.3,0.0,0,0,0,0,0,5740000000,1,1
165,EAST DELHI,DELHI,GEN,15.9,0.0,1,0,0,0,0,16090000000,1,0
166,ELURU,ANDHRA PRADESH,GEN,8.5,0.0,1,1,1,0,0,11030000000,1,0
167,ERNAKULAM,KERALA,GEN,10.2,0.0,0,1,0,0,0,19990000000,1,0
168,ERODE,TAMIL NADU,GEN,21.0,0.0,0,1,0,0,0,900000000,1,0
169,ETAH,UTTAR PRADESH,GEN,21.7,0.0,1,0,0,0,0,0,1,0
170,ETAWAH,UTTAR PRADESH,SC,18.4,0.0,1,0,0,0,0,3180000000,1,0
171,FAIZABAD,UTTAR PRADESH,GEN,27.6,0.0,1,0,0,0,0,410000000,1,0
172,FARIDABAD,HARYANA,GEN,41.3,1.0,1,1,0,0,0,5650000000,1,0
173,FARIDKOT,PUNJAB,SC,16.7,0.0,0,0,0,1,0,660000000,0,1
174,FARRUKHABAD,UTTAR PRADESH,GEN,15.5,0.0,1,0,0,0,0,0,1,0
175,FATEHGARH SAHIB,PUNJAB,SC,5.3,0.0,0,0,0,0,0,7470000000,1,1
176,FATEHPUR,UTTAR PRADESH,GEN,17.7,1.0,1,0,0,1,0,0,0,0
177,FATEHPUR SIKRI,UTTAR PRADESH,GEN,17.9,0.0,1,0,0,0,0,1090000000,1,0
178,FIROZABAD,UTTAR PRADESH,GEN,10.3,0.0,0,1,0,0,0,10000000,1,0
