,Constituency,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned
361,MURSHIDABAD,WEST BENGAL,GEN,1.4,0.0,0,0,0,1,0,2140000000,0,1
362,MUZAFFARNAGAR,UTTAR PRADESH,GEN,36.2,1.0,1,0,0,0,1,540000000,1,0
363,MUZAFFARPUR,BIHAR,GEN,23.4,0.0,1,1,0,1,0,2460000000,0,0
364,MYSORE,KARNATAKA,GEN,2.7,0.0,1,0,0,0,0,820000000,1,0
365,NABARANGPUR,ODISHA,ST,0.2,0.0,0,1,0,1,0,4880000000,0,0
366,NAGALAND,NAGALAND,ST,38.5,0.0,1,1,0,1,0,360000000,0,0
367,NAGAPATTINAM,TAMIL NADU,SC,11.3,0.0,0,1,0,0,0,1850000000,1,0
368,NAGARKURNOOL,TELANGANA,SC,1.5,0.0,0,0,0,0,0,1730000000,1,1
369,NAGAUR,RAJASTHAN,GEN,7.5,0.0,1,1,0,0,0,4010000000,1,0
370,NAGINA,UTTAR PRADESH,SC,9.8,0.0,1,0,0,0,0,150000000,1,0
371,NAGPUR,MAHARASHTRA,GEN,26.3,1.0,1,1,0,0,1,8260000000,1,0
372,NAINITAL-UDHAMSINGH NAGAR,UTTARAKHAND,GEN,25.8,0.0,1,0,0,1,0,170000000,0,0
373,NALANDA,BIHAR,GEN,1.0,0.0,1,1,0,0,0,280000000,1,0
374,NALGONDA,TELANGANA,GEN,16.2,0.0,0,0,0,0,0,1860000000,1,1
375,NAMAKKAL,TAMIL NADU,GEN,27.8,0.0,0,1,0,0,0,1760000000,1,0
376,NANDED,MAHARASHTRA,GEN,8.0,0.0,0,0,0,1,0,1040000000,0,1
377,NANDURBAR,MAHARASHTRA,ST,9.6,0.0,1,1,0,1,0,4250000000,0,0
378,NANDYAL,ANDHRA PRADESH,GEN,8.8,0.0,0,0,0,0,0,4190000000,1,1
379,NARASARAOPET,ANDHRA PRADESH,GEN,2.8,0.0,1,1,0,0,0,5850000000,1,0
380,NARSAPURAM,ANDHRA PRADESH,GEN,7.8,0.0,1,0,1,0,0,4270000000,1,0
381,NASHIK,MAHARASHTRA,GEN,20.0,0.0,1,1,0,0,0,11470000000,1,0
382,NAVSARI,GUJARAT,GEN,48.1,0.0,1,1,0,0,0,22120000000,1,0
383,NAWADA,BIHAR,GEN,15.8,1.0,1,1,0,1,0,0,0,0
384,NELLORE,ANDHRA PRADESH,GEN,1.1,0.0,0,0,0,0,0,230000000,1,1
385,NEW DELHI,DELHI,GEN,16.8,0.0,1,0,0,0,0,15720000000,1,0
386,NILGIRIS,TAMIL NADU,SC,11.2,0.0,0,1,0,0,0,17760000000,1,0
387,NIZAMABAD,TELANGANA,GEN,16.2,0.0,0,1,0,0,0,13190000000,1,0
388,NORTH EAST DELHI,DELHI,GEN,10.9,0.0,1,0,0,0,0,2800000000,1,0
389,NORTH GOA,GOA,GEN,26.0,1.0,1,1,0,0,1,710000000,1,0
390,NORTH WEST DELHI,DELHI,SC,7.9,0.0,1,0,0,0,0,49790000000,1,0
391,NOWGONG,ASSAM,GEN,11.7,0.0,1,0,0,0,0,0,1,0
392,ONGOLE,ANDHRA PRADESH,GEN,1.3,0.0,0,0,0,0,0,230000000,1,1
393,OSMANABAD,MAHARASHTRA,GEN,21.0,0.0,1,1,0,0,0,3940000000,1,0
394,OUTER MANIPUR,MANIPUR,ST,2.0,0.0,0,1,0,1,0,960000000,0,0
395,PALAKKAD,KERALA,GEN,11.6,0.0,0,0,0,0,0,1400000000,1,1
396,PALAMAU,JHARKHAND,SC,27.0,0.0,1,1,0,1,0,0,0,0
397,PALGHAR,MAHARASHTRA,ST,24.1,0.0,1,1,0,0,0,20330000000,1,0
398,PALI,RAJASTHAN,GEN,36.4,0.0,1,1,0,0,0,31920000000,1,0
399,PANCHMAHAL,GUJARAT,GEN,18.3,0.0,1,1,1,0,1,710000000,1,0
400,PARBHANI,MAHARASHTRA,GEN,10.9,0.0,1,1,0,0,0,40440000000,1,0
401,PASCHIM CHAMPARAN,BIHAR,GEN,12.9,0.0,1,1,0,0,0,0,1,0
402,PATALIPUTRA,BIHAR,GEN,4.1,1.0,1,1,1,0,1,2380000000,1,0
403,PATAN,GUJARAT,GEN,14.5,0.0,1,1,0,0,0,8390000000,1,0
404,PATHANAMTHITTA,KERALA,GEN,6.5,0.0,0,1,0,0,0,1820000000,1,0
405,PATIALA,PUNJAB,GEN,1.9,0.0,0,0,0,0,0,3290000000,1,1
406,PATNA SAHIB,BIHAR,GEN,30.1,0.0,1,1,1,0,1,2380000000,1,0
407,PEDDAPALLE,TELANGANA,SC,28.5,0.0,0,1,0,1,0,13330000000,0,0
408,PERAMBALUR,TAMIL NADU,GEN,20.7,0.0,0,1,0,0,0,3650000000,1,0
409,PHULPUR,UTTAR PRADESH,GEN,32.1,0.0,1,0,0,0,0,630000000,1,0
410,PILIBHIT,UTTAR PRADESH,GEN,29.2,1.0,1,0,0,0,0,660000000,1,0
411,POLLACHI,TAMIL NADU,GEN,13.9,0.0,0,1,0,0,0,16560000000,1,0
412,PONDICHERRY,PUDUCHERRY,GEN,8.2,1.0,1,1,0,0,1,250000000,1,0
413,PONNANI,KERALA,GEN,2.9,0.0,0,0,0,0,0,1400000000,1,1
414,PORBANDAR,GUJARAT,GEN,33.1,0.0,1,1,0,0,0,7260000000,1,0
415,PRATAPGARH,UTTAR PRADESH,GEN,18.8,0.0,1,0,0,0,0,70000000,1,0
416,PUNE,MAHARASHTRA,GEN,31.8,0.0,1,1,0,0,0,176290000000,1,0
417,PURI,ODISHA,GEN,25.3,0.0,0,1,0,0,0,1700000000,1,0
418,PURNIA,BIHAR,GEN,11.5,0.0,1,1,0,1,0,0,0,0
419,PURULIA,WEST BENGAL,GEN,12.8,0.0,0,1,0,0,0,3730000000,1,0
420,PURVI CHAMPARAN,BIHAR,GEN,23.4,1.0,1,1,0,0,0,0,1,0
421,RAE BARELI,UTTAR PRADESH,GEN,42.7,0.0,0,0,0,0,0,3320000000,1,1
422,RAICHUR,KARNATAKA,ST,0.2,0.0,0,1,0,1,0,3280000000,0,0
423,RAIGAD,MAHARASHTRA,GEN,0.2,1.0,1,1,0,0,1,3550000000,1,0
424,RAIGANJ,WEST BENGAL,GEN,0.1,0.0,0,0,0,0,0,0,1,1
425,RAIGARH,CHHATTISGARH,ST,17.4,1.0,1,1,0,0,0,170000000,1,0
426,RAIPUR,CHHATTISGARH,GEN,13.7,0.0,1,1,0,0,0,10860000000,1,0
427,RAJAHMUNDRY,ANDHRA PRADESH,GEN,14.5,0.0,1,1,1,0,0,6620000000,1,0
428,RAJAMPET,ANDHRA PRADESH,GEN,15.1,0.0,0,0,0,1,0,7740000000,0,1
429,RAJGARH,MADHYA PRADESH,GEN,22.6,0.0,1,1,0,1,0,340000000,0,0
430,RAJKOT,GUJARAT,GEN,23.3,1.0,1,1,0,1,1,8570000000,0,0
431,RAJMAHAL,JHARKHAND,ST,4.3,0.0,0,0,0,1,0,0,0,1
432,RAJNANDGAON,CHHATTISGARH,GEN,20.0,0.0,1,1,0,1,0,1510000000,0,0
433,RAJSAMAND,RAJASTHAN,GEN,40.3,0.0,1,1,0,0,0,35510000000,1,0
434,RAMANATHAPURAM,TAMIL NADU,GEN,11.9,0.0,0,1,0,1,0,2280000000,0,0
435,RAMPUR,UTTAR PRADESH,GEN,2.5,0.0,1,0,0,0,0,1210000000,1,0
436,RAMTEK,MAHARASHTRA,SC,16.7,0.0,1,1,0,0,0,8260000000,1,0
437,RANAGHAT,WEST BENGAL,SC,14.9,0.0,0,1,0,1,0,1670000000,0,0
438,RANCHI,JHARKHAND,GEN,19.0,0.0,1,1,0,1,0,830000000,0,0
439,RATLAM,MADHYA PRADESH,ST,10.0,0.0,1,1,0,0,0,0,1,0
440,RATNAGIRI SINDHUDURG,MAHARASHTRA,GEN,16.7,0.0,1,1,0,0,0,2370000000,1,0
441,RAVER,MAHARASHTRA,GEN,31.5,0.0,1,1,0,1,0,400000000,0,0
442,REWA,MADHYA PRADESH,GEN,20.3,0.0,1,1,0,0,0,200000000,1,0
443,ROBERTSGANJ,UTTAR PRADESH,SC,21.5,0.0,1,0,0,1,0,980000000,0,0
444,ROHTAK,HARYANA,GEN,16.3,0.0,0,0,1,0,0,7970000000,1,1
445,SABARKANTHA,GUJARAT,GEN,7.7,0.0,1,1,0,0,0,210000000,1,0
446,SAGAR,MADHYA PRADESH,GEN,13.5,0.0,1,1,0,1,0,680000000,0,0
447,SAHARANPUR,UTTAR PRADESH,GEN,5.5,0.0,1,0,0,0,0,230000000,1,0
448,SALEM,TAMIL NADU,GEN,23.3,0.0,0,1,0,0,0,1660000000,1,0
449,SALEMPUR,UTTAR PRADESH,GEN,27.2,0.0,1,0,0,0,0,330000000,1,0
450,SAMASTIPUR,BIHAR,SC,0.8,0.0,1,0,0,0,0,0,1,0
451,SAMBALPUR,ODISHA,GEN,3.1,0.0,0,1,0,0,0,42040000000,1,0
452,SAMBHAL,UTTAR PRADESH,GEN,0.5,0.0,1,0,0,0,0,1150000000,1,0
453,SANGLI,MAHARASHTRA,GEN,22.9,0.0,1,1,0,0,0,1310000000,1,0
454,SANGRUR,PUNJAB,GEN,19.3,0.0,0,0,0,0,0,1300000000,1,1
455,SANT KABIR NAGAR,UTTAR PRADESH,GEN,9.7,0.0,1,0,0,0,0,3240000000,1,0
456,SARAN,BIHAR,GEN,4.7,1.0,1,1,0,0,0,270000000,1,0
457,SASARAM,BIHAR,SC,7.5,0.0,1,1,0,0,0,0,1,0
458,SATARA,MAHARASHTRA,GEN,37.5,0.0,0,0,0,0,0,1750000000,1,1
459,SATNA,MADHYA PRADESH,GEN,1.0,0.0,1,1,0,0,0,560000000,1,0
460,SECUNDERABAD,TELANGANA,GEN,25.4,1.0,1,0,0,0,1,30460000000,1,0
461,SHAHDOL,MADHYA PRADESH,ST,24.9,0.0,1,1,0,0,0,570000000,1,0
462,SHAHJAHANPUR,UTTAR PRADESH,SC,20.8,0.0,1,0,0,0,0,3310000000,1,0
463,SHEOHAR,BIHAR,GEN,16.2,0.0,1,1,0,1,0,200000000,0,0
464,SHILLONG,MEGHALAYA,ST,6.5,0.0,0,1,0,1,0,1560000000,0,0
465,SHIMLA,HIMACHAL PRADESH,SC,11.4,0.0,1,0,0,0,0,2580000000,1,0
466,SHIMOGA,KARNATAKA,GEN,32.2,0.0,1,0,0,0,0,3100000000,1,0
467,SHIRDI,MAHARASHTRA,SC,21.4,0.0,1,1,0,0,0,340000000,1,0
468,SHIRUR,MAHARASHTRA,GEN,27.7,0.0,1,1,0,0,0,176290000000,1,0
469,SHRAWASTI,UTTAR PRADESH,GEN,8.8,0.0,1,0,0,1,0,60000000,0,0
470,SIDHI,MADHYA PRADESH,GEN,10.9,0.0,1,1,0,1,0,50070000000,0,0
471,SIKAR,RAJASTHAN,GEN,22.4,0.0,1,1,0,0,0,910000000,1,0
472,SIKKIM,SIKKIM,GEN,13.5,0.0,0,1,0,1,0,310000000,0,0
473,SILCHAR,ASSAM,GEN,4.4,0.0,0,1,0,0,0,0,1,0
474,SINGHBHUM,JHARKHAND,ST,11.0,0.0,1,1,0,1,0,0,0,0
475,SIRSA,HARYANA,SC,9.0,0.0,0,0,0,0,0,410000000,1,1
476,SITAMARHI,BIHAR,GEN,16.4,0.0,1,0,0,1,0,200000000,0,0
477,SITAPUR,UTTAR PRADESH,GEN,5.0,0.0,1,0,0,0,0,630000000,1,0
478,SIVAGANGA,TAMIL NADU,GEN,22.3,0.0,0,1,0,0,0,300000000,1,0
479,SIWAN,BIHAR,GEN,12.9,0.0,1,1,0,0,0,0,1,0
480,SOLAPUR,MAHARASHTRA,SC,15.7,0.0,1,1,0,0,0,960000000,1,0
481,SONIPAT,HARYANA,GEN,7.9,0.0,1,1,0,0,0,10360000000,1,0
482,SOUTH DELHI,DELHI,GEN,9.7,0.0,1,0,0,0,0,5400000000,1,0
483,SOUTH GOA,GOA,GEN,7.9,0.0,1,1,0,0,0,1340000000,1,0
484,SREERAMPUR,WEST BENGAL,GEN,11.8,0.0,0,1,0,0,0,1330000000,1,0
485,SRIKAKULAM,ANDHRA PRADESH,GEN,12.1,0.0,1,1,0,0,0,5970000000,1,0
486,SRINAGAR,JAMMU AND KASHMIR,GEN,13.5,0.0,0,0,0,0,0,16420000000,1,1
487,SRIPERUMBUDUR,TAMIL NADU,GEN,8.0,0.0,0,1,0,0,0,800000000,1,0
488,SULTANPUR,UTTAR PRADESH,GEN,18.5,0.0,1,0,0,0,0,100000000,1,0
489,SUNDARGARH,ODISHA,ST,1.9,1.0,1,0,0,0,0,0,1,0
490,SUPAUL,BIHAR,GEN,6.1,0.0,0,0,0,0,0,0,1,1
491,SURAT,GUJARAT,GEN,56.2,0.0,1,1,0,0,0,21930000000,1,0
492,SURENDRANAGAR,GUJARAT,GEN,21.5,0.0,1,1,0,0,0,2950000000,1,0
493,SURGUJA,CHHATTISGARH,ST,12.4,0.0,1,1,0,0,0,650000000,1,0
494,TAMLUK,WEST BENGAL,GEN,18.4,0.0,0,1,0,0,0,0,1,0
495,TEHRI GARHWAL,UTTARAKHAND,GEN,24.8,0.0,1,0,0,0,0,33850000000,1,0
496,TENKASI,TAMIL NADU,SC,15.9,0.0,0,1,0,1,0,6790000000,0,0
497,TEZPUR,ASSAM,GEN,8.8,0.0,1,0,0,0,0,12290000000,1,0
498,THANE,MAHARASHTRA,GEN,26.7,0.0,1,1,0,0,0,18690000000,1,0
499,THANJAVUR,TAMIL NADU,GEN,14.2,0.0,0,1,0,0,0,5490000000,1,0
500,THENI,TAMIL NADU,GEN,29.2,0.0,0,1,0,0,0,2740000000,1,0
501,THIRUVANANTHAPURAM,KERALA,GEN,1.8,0.0,0,1,0,0,0,2640000000,1,0
502,THOOTHUKKUDI,TAMIL NADU,GEN,13.5,0.0,0,1,0,0,0,2540000000,1,0
503,THRISSUR,KERALA,GEN,4.2,0.0,0,0,0,0,0,5460000000,1,1
504,TIKAMGARH,MADHYA PRADESH,SC,27.2,0.0,1,1,0,1,0,0,0,0
505,TIRUCHIRAPPALLI,TAMIL NADU,GEN,15.2,0.0,0,1,0,0,0,2740000000,1,0
506,TIRUNELVELI,TAMIL NADU,GEN,13.1,0.0,0,1,0,0,0,5180000000,1,0
507,TIRUPATI,ANDHRA PRADESH,SC,3.1,0.0,0,0,0,0,0,7470000000,1,1
508,TIRUPPUR,TAMIL NADU,GEN,17.1,0.0,0,1,0,0,0,790000000,1,0
509,TIRUVALLUR,TAMIL NADU,SC,25.8,0.0,0,1,0,0,0,60000000,1,0
510,TIRUVANNAMALAI,TAMIL NADU,GEN,15.8,0.0,0,1,0,0,0,216390000000,1,0
511,TONK-SAWAI MADHOPUR,RAJASTHAN,GEN,13.0,0.0,1,1,0,0,0,130000000,1,0
512,TRIPURA EAST,TRIPURA,ST,50.9,0.0,0,1,0,1,0,1020000000,0,0
513,TRIPURA WEST,TRIPURA,GEN,46.9,0.0,0,1,0,0,0,800000000,1,0
514,TUMKUR,KARNATAKA,GEN,6.7,0.0,0,1,0,0,0,2100000000,1,0
515,TURA,MEGHALAYA,ST,8.7,0.0,1,0,0,0,0,0,1,0
516,UDAIPUR,RAJASTHAN,ST,19.8,0.0,1,1,0,0,0,3250000000,1,0
517,UDHAMPUR,JAMMU AND KASHMIR,GEN,5.9,1.0,1,0,0,0,1,70000000,1,0
518,UDUPI CHIKMAGALUR,KARNATAKA,GEN,17.6,0.0,1,0,0,0,0,2550000000,1,0
519,UJIARPUR,BIHAR,GEN,7.0,0.0,1,1,0,0,0,0,1,0
520,UJJAIN,MADHYA PRADESH,SC,30.5,0.0,1,1,1,0,0,990000000,1,0
521,ULUBERIA,WEST BENGAL,GEN,17.0,0.0,0,1,0,0,0,570000000,1,0
522,UNNAO,UTTAR PRADESH,GEN,25.8,0.0,1,0,0,0,0,180000000,1,0
523,UTTARA KANNADA,KARNATAKA,GEN,14.1,0.0,1,0,0,0,0,640000000,1,0
524,VADAKARA,KERALA,GEN,0.3,0.0,0,1,0,0,0,560000000,1,0
525,VADODARA,GUJARAT,GEN,49.1,0.0,1,1,0,0,0,9190000000,1,0
526,VAISHALI,BIHAR,GEN,10.7,0.0,1,0,0,1,0,2460000000,0,0
527,VALMIKI NAGAR,BIHAR,GEN,13.1,0.0,1,1,0,0,0,0,1,0
528,VALSAD,GUJARAT,ST,18.5,0.0,1,1,0,0,0,6150000000,1,0
529,VARANASI,UTTAR PRADESH,GEN,36.1,1.0,1,0,0,0,1,4350000000,1,0
530,VELLORE,TAMIL NADU,GEN,6.1,0.0,0,1,0,0,0,216040000000,1,0
531,VIDISHA,MADHYA PRADESH,GEN,38.3,1.0,1,1,0,1,1,8580000000,0,0
532,VIJAYAWADA,ANDHRA PRADESH,GEN,6.3,0.0,1,1,1,0,0,6760000000,1,0
533,VILUPPURAM,TAMIL NADU,SC,18.1,0.0,0,1,0,0,0,0,1,0
534,VIRUDHUNAGAR,TAMIL NADU,GEN,14.4,0.0,0,1,0,1,0,4190000000,0,0
535,VISAKHAPATNAM,ANDHRA PRADESH,GEN,7.8,0.0,1,0,0,1,0,30420000000,0,0
536,VIZIANAGARAM,ANDHRA PRADESH,GEN,9.5,1.0,1,1,0,1,1,5970000000,0,0
537,WARDHA,MAHARASHTRA,GEN,21.3,0.0,1,1,0,0,0,15050000000,1,0
538,WAYANAD,KERALA,GEN,2.3,0.0,0,1,0,1,0,950000000,0,0
539,WEST DELHI,DELHI,GEN,19.9,0.0,1,0,0,0,0,49790000000,1,0
540,YAVATMAL-WASHIM,MAHARASHTRA,GEN,9.1,0.0,1,1,0,0,0,20000000,1,0
541,ZAHIRABAD,TELANGANA,GEN,13.2,0.0,0,1,0,0,0,3510000000,1,0
